unifs_propNorm;unifs_propOriginal;var0;var1;formula
19;26;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
17;24;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
17;24;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
19;27;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
17;24;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
17;24;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
15;22;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
15;22;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
15;22;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
19;27;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
19;27;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
17;25;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
17;25;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
22;32;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;30;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
18;25;true;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (O)))
10;14;true;true;Disj (Var (O), Var (S (O)))
10;14;true;false;Disj (Var (O), Var (S (O)))
10;14;false;true;Disj (Var (O), Var (S (O)))
8;12;true;_;Disj (Var (O), Var (O))
12;17;true;true;Disj (Var (O), Neg (Var (S (O))))
12;17;true;false;Disj (Var (O), Neg (Var (S (O))))
12;17;false;false;Disj (Var (O), Neg (Var (S (O))))
10;15;true;_;Disj (Var (O), Neg (Var (O)))
10;15;false;_;Disj (Var (O), Neg (Var (O)))
15;20;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
15;20;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
15;20;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
13;18;true;_;Disj (Var (O), Neg (Neg (Var (O))))
17;23;true;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
17;23;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
17;23;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
17;24;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
17;24;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
17;24;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;22;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
15;22;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
15;22;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
17;25;true;true;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
17;25;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
17;25;false;true;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
17;25;false;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
15;22;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
15;22;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
15;22;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
13;20;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
17;25;true;true;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
17;25;true;false;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
17;25;false;false;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
15;23;true;_;Disj (Var (O), Disj (Var (O), Neg (Var (O))))
15;23;false;_;Disj (Var (O), Disj (Var (O), Neg (Var (O))))
20;30;true;false;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
16;23;true;_;Disj (Var (O), Disj (Neg (Var (O)), Var (O)))
17;24;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
17;24;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
17;24;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;22;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
15;22;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
19;27;true;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (S (O)))))
19;27;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (S (O)))))
17;25;true;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
17;25;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
17;25;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
22;32;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
15;22;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
15;22;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
13;20;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
17;25;true;true;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
17;25;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
15;23;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
20;30;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
22;32;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
20;30;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;30;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;31;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (O)))))
18;25;true;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
18;25;true;false;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
18;25;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
16;23;true;_;Disj (Var (O), Conj (Neg (Var (O)), Var (O)))
13;17;true;true;Disj (Neg (Var (O)), Var (S (O)))
13;17;false;true;Disj (Neg (Var (O)), Var (S (O)))
13;17;false;false;Disj (Neg (Var (O)), Var (S (O)))
11;15;true;_;Disj (Neg (Var (O)), Var (O))
11;15;false;_;Disj (Neg (Var (O)), Var (O))
15;20;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
15;20;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
15;20;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
13;18;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
16;21;true;_;Disj (Neg (Var (O)), Neg (Neg (Var (O))))
18;25;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
18;25;true;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
18;25;true;true;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
18;25;true;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
16;23;true;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
16;23;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
20;27;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
18;25;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
18;25;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
18;25;false;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
18;25;false;false;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
16;23;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
16;23;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
21;31;true;_;Disj (Neg (Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
17;22;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
17;22;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
15;20;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
17;23;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
12;16;_;true;Conj (Var (S (O)), Var (S (O)))
10;14;true;true;Conj (Var (S (O)), Var (O))
12;17;false;true;Conj (Var (S (O)), Neg (Var (O)))
15;20;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
19;26;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
17;24;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
17;24;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
19;27;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
17;24;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
17;24;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;22;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
19;27;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
17;25;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
17;25;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
18;25;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
19;26;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
17;24;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
17;24;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
15;22;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
10;14;true;true;Conj (Var (O), Var (S (O)))
8;12;true;_;Conj (Var (O), Var (O))
12;17;true;false;Conj (Var (O), Neg (Var (S (O))))
15;20;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
13;18;true;_;Conj (Var (O), Neg (Neg (Var (O))))
17;24;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;22;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
15;22;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
19;27;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
17;25;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
15;22;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
15;22;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
13;20;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
17;25;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
17;25;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
15;23;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
20;30;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
20;30;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
20;31;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
18;25;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
16;23;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
17;24;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;22;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
15;22;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
13;20;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
17;25;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;30;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
13;17;true;false;Conj (Neg (Var (S (O))), Var (O))
13;17;false;true;Conj (Neg (Var (O)), Var (S (O)))
15;20;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
13;18;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
18;25;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
18;25;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
17;22;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
15;20;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
