unifs_propNorm;unifs_prop;var0;var1;formula
12;10;true;true;Disj (Var (O), Neg (Var (S (O))))
12;10;true;false;Disj (Var (O), Neg (Var (S (O))))
12;10;false;false;Disj (Var (O), Neg (Var (S (O))))
10;8;true;_;Disj (Var (O), Neg (Var (O)))
10;8;false;_;Disj (Var (O), Neg (Var (O)))
15;11;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
15;11;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
15;11;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
13;9;true;_;Disj (Var (O), Neg (Neg (Var (O))))
17;12;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
17;12;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
17;15;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;13;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
15;13;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
17;14;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
15;13;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
15;13;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
13;11;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
18;14;true;false;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
18;13;true;_;Disj (Var (O), Disj (Neg (Var (O)), Neg (Var (O))))
17;15;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
17;15;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
17;15;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;13;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
15;13;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
17;14;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
17;14;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
15;13;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
15;13;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
13;11;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
17;14;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
15;12;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
18;14;true;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
18;14;true;false;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
18;14;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
16;12;true;_;Disj (Var (O), Conj (Neg (Var (O)), Var (O)))
18;13;true;_;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (O))))
18;13;false;_;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (O))))
15;12;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
15;12;_;false;Disj (Neg (Var (S (O))), Var (S (O)))
13;10;true;true;Disj (Neg (Var (S (O))), Var (O))
13;10;true;false;Disj (Neg (Var (S (O))), Var (O))
13;10;false;false;Disj (Neg (Var (S (O))), Var (O))
15;11;true;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
15;11;false;true;Disj (Neg (Var (S (O))), Neg (Var (O)))
13;10;true;true;Disj (Neg (Var (O)), Var (S (O)))
13;10;false;true;Disj (Neg (Var (O)), Var (S (O)))
13;10;false;false;Disj (Neg (Var (O)), Var (S (O)))
11;8;true;_;Disj (Neg (Var (O)), Var (O))
11;8;false;_;Disj (Neg (Var (O)), Var (O))
15;11;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
15;11;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
15;11;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
13;9;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
16;10;false;_;Disj (Neg (Var (O)), Neg (Neg (Var (O))))
18;14;false;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
18;14;false;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
16;12;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
18;14;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
18;14;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
18;14;false;false;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
18;14;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
18;14;false;false;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
16;12;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
16;12;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
17;13;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
17;13;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
15;11;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
19;14;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
17;12;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
12;11;_;true;Conj (Var (S (O)), Var (S (O)))
10;9;true;true;Conj (Var (S (O)), Var (O))
12;10;false;true;Conj (Var (S (O)), Neg (Var (O)))
15;11;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
19;17;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
17;15;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
17;15;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
19;16;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
17;15;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
17;15;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;13;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
19;16;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
17;14;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
17;14;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
18;14;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
19;17;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
17;15;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
17;15;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
15;13;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
10;9;true;true;Conj (Var (O), Var (S (O)))
8;7;true;_;Conj (Var (O), Var (O))
12;10;true;false;Conj (Var (O), Neg (Var (S (O))))
15;11;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
13;9;true;_;Conj (Var (O), Neg (Neg (Var (O))))
17;15;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;13;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
15;13;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
19;16;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
17;14;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
15;13;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
15;13;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
13;11;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
17;14;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
17;14;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
15;12;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
22;19;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
18;14;true;true;Conj (Var (O), Disj (Neg (Var (S (O))), Var (O)))
18;14;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
16;12;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
17;15;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;13;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
15;13;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
13;11;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
17;14;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;17;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
13;10;true;false;Conj (Neg (Var (S (O))), Var (O))
13;10;false;true;Conj (Neg (Var (O)), Var (S (O)))
15;11;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
13;9;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
18;14;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
18;14;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
17;13;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
15;11;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
