unifs_propNormOriginal;unifs_propNorm;var0;var1;formula
25;17;true;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
25;17;true;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
25;17;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
25;17;false;false;Disj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
30;20;false;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
32;22;true;false;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
32;22;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
30;20;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
27;20;true;true;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (S (O))))
25;18;true;true;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
25;18;true;false;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
25;18;false;false;Disj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
28;20;true;true;Disj (Var (S (O)), Disj (Neg (Var (O)), Neg (Var (O))))
26;19;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
24;17;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
24;17;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
29;21;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (S (O)))))
27;19;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
24;17;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
24;17;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
22;15;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;15;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;15;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
27;19;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
27;19;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
25;17;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
25;17;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
32;22;false;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
30;20;false;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
32;22;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
30;20;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
27;20;true;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
25;18;true;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (O)))
25;18;false;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (O)))
28;20;true;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
14;10;true;true;Disj (Var (O), Var (S (O)))
14;10;true;false;Disj (Var (O), Var (S (O)))
14;10;false;true;Disj (Var (O), Var (S (O)))
12;8;true;_;Disj (Var (O), Var (O))
17;12;true;true;Disj (Var (O), Neg (Var (S (O))))
17;12;true;false;Disj (Var (O), Neg (Var (S (O))))
17;12;false;false;Disj (Var (O), Neg (Var (S (O))))
15;10;true;_;Disj (Var (O), Neg (Var (O)))
15;10;false;_;Disj (Var (O), Neg (Var (O)))
20;15;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
20;15;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
20;15;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
18;13;true;_;Disj (Var (O), Neg (Neg (Var (O))))
23;17;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
24;17;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
24;17;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
24;17;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
22;15;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
22;15;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
22;15;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
27;19;true;true;Disj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
27;19;false;true;Disj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
27;19;false;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
25;17;true;true;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
25;17;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
25;17;false;true;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
25;17;false;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
30;20;false;true;Disj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
32;22;true;false;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
32;22;false;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
30;20;false;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
22;15;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
22;15;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
22;15;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
20;13;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
25;17;true;true;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
25;17;true;false;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
25;17;false;false;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
23;15;true;_;Disj (Var (O), Disj (Var (O), Neg (Var (O))))
23;15;false;_;Disj (Var (O), Disj (Var (O), Neg (Var (O))))
32;22;true;false;Disj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
32;22;false;true;Disj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
30;20;false;true;Disj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (O))))
30;20;true;false;Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
30;20;false;true;Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
33;22;false;false;Disj (Var (O), Disj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
31;20;false;_;Disj (Var (O), Disj (Var (O), Disj (Var (O), Neg (Var (O)))))
32;22;false;true;Disj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
30;20;true;false;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
33;22;true;true;Disj (Var (O), Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
31;20;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
25;18;true;true;Disj (Var (O), Disj (Neg (Var (S (O))), Var (O)))
25;18;true;true;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
25;18;true;false;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
25;18;false;true;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
25;18;false;false;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
23;16;true;_;Disj (Var (O), Disj (Neg (Var (O)), Var (O)))
23;16;false;_;Disj (Var (O), Disj (Neg (Var (O)), Var (O)))
28;20;true;true;Disj (Var (O), Disj (Neg (Var (O)), Neg (Var (S (O)))))
28;20;true;false;Disj (Var (O), Disj (Neg (Var (O)), Neg (Var (S (O)))))
26;18;true;_;Disj (Var (O), Disj (Neg (Var (O)), Neg (Var (O))))
26;18;false;_;Disj (Var (O), Disj (Neg (Var (O)), Neg (Var (O))))
24;17;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
24;17;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
24;17;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
22;15;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
22;15;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
27;19;true;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (S (O)))))
27;19;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (S (O)))))
25;17;true;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
25;17;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
25;17;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
32;22;true;false;Disj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
32;22;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
22;15;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
22;15;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
20;13;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
25;17;true;true;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
25;17;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
23;15;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
32;22;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
30;20;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
32;22;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
30;20;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
30;20;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
33;22;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
31;20;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (O)))))
31;21;true;_;Disj (Var (O), Conj (Var (O), Conj (Neg (Var (O)), Var (O))))
25;18;true;true;Disj (Var (O), Conj (Neg (Var (S (O))), Var (O)))
25;18;true;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
25;18;true;false;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
25;18;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
23;16;true;_;Disj (Var (O), Conj (Neg (Var (O)), Var (O)))
28;20;true;true;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (S (O)))))
28;20;true;false;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (S (O)))))
26;18;true;_;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (O))))
26;18;false;_;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (O))))
19;15;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
19;15;_;false;Disj (Neg (Var (S (O))), Var (S (O)))
17;13;true;true;Disj (Neg (Var (S (O))), Var (O))
17;13;true;false;Disj (Neg (Var (S (O))), Var (O))
17;13;false;false;Disj (Neg (Var (S (O))), Var (O))
20;15;true;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
20;15;false;true;Disj (Neg (Var (S (O))), Neg (Var (O)))
27;20;true;true;Disj (Neg (Var (S (O))), Disj (Var (O), Var (S (O))))
25;18;true;true;Disj (Neg (Var (S (O))), Disj (Var (O), Var (O)))
27;20;true;true;Disj (Neg (Var (S (O))), Conj (Var (O), Var (S (O))))
25;18;true;true;Disj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
17;13;true;true;Disj (Neg (Var (O)), Var (S (O)))
17;13;false;true;Disj (Neg (Var (O)), Var (S (O)))
17;13;false;false;Disj (Neg (Var (O)), Var (S (O)))
15;11;true;_;Disj (Neg (Var (O)), Var (O))
15;11;false;_;Disj (Neg (Var (O)), Var (O))
20;15;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
20;15;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
20;15;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
18;13;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
23;18;true;true;Disj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
21;16;true;_;Disj (Neg (Var (O)), Neg (Neg (Var (O))))
21;16;false;_;Disj (Neg (Var (O)), Neg (Neg (Var (O))))
27;20;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
25;18;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
25;18;true;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
25;18;false;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
25;18;false;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
30;22;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Neg (Var (S (O)))))
28;20;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Neg (Var (O))))
25;18;true;true;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
25;18;true;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
25;18;false;true;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
25;18;false;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
23;16;true;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
23;16;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
28;20;true;true;Disj (Neg (Var (O)), Disj (Var (O), Neg (Var (S (O)))))
28;20;true;false;Disj (Neg (Var (O)), Disj (Var (O), Neg (Var (S (O)))))
28;20;false;true;Disj (Neg (Var (O)), Disj (Var (O), Neg (Var (S (O)))))
26;18;true;_;Disj (Neg (Var (O)), Disj (Var (O), Neg (Var (O))))
26;18;false;_;Disj (Neg (Var (O)), Disj (Var (O), Neg (Var (O))))
29;21;true;_;Disj (Neg (Var (O)), Disj (Var (O), Neg (Neg (Var (O)))))
33;23;true;true;Disj (Neg (Var (O)), Disj (Var (O), Disj (Var (O), Var (S (O)))))
31;21;true;_;Disj (Neg (Var (O)), Disj (Var (O), Disj (Var (O), Var (O))))
31;21;true;_;Disj (Neg (Var (O)), Disj (Var (O), Conj (Var (O), Var (O))))
28;21;true;true;Disj (Neg (Var (O)), Disj (Neg (Var (O)), Var (S (O))))
26;19;true;_;Disj (Neg (Var (O)), Disj (Neg (Var (O)), Var (O)))
27;20;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
25;18;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
25;18;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
25;18;false;false;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
25;18;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
25;18;false;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
25;18;false;false;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
23;16;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
23;16;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
28;20;true;false;Disj (Neg (Var (O)), Conj (Var (O), Neg (Var (S (O)))))
26;18;false;_;Disj (Neg (Var (O)), Conj (Var (O), Neg (Var (O))))
29;21;true;_;Disj (Neg (Var (O)), Conj (Var (O), Neg (Neg (Var (O)))))
33;23;true;true;Disj (Neg (Var (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
31;21;true;_;Disj (Neg (Var (O)), Conj (Var (O), Disj (Var (O), Var (O))))
31;21;true;_;Disj (Neg (Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
20;15;true;_;Disj (Disj (Var (O), Var (O)), Var (O))
22;17;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
22;17;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
20;15;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
16;12;_;true;Conj (Var (S (O)), Var (S (O)))
14;10;true;true;Conj (Var (S (O)), Var (O))
17;12;false;true;Conj (Var (S (O)), Neg (Var (O)))
20;15;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
26;19;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
24;17;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;17;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
27;19;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
24;17;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
24;17;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
22;15;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
27;19;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
25;17;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
25;17;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
27;20;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (S (O))))
25;18;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
26;19;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
24;17;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
24;17;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
22;15;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
14;10;true;true;Conj (Var (O), Var (S (O)))
12;8;true;_;Conj (Var (O), Var (O))
17;12;true;false;Conj (Var (O), Neg (Var (S (O))))
20;15;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
18;13;true;_;Conj (Var (O), Neg (Neg (Var (O))))
24;17;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
22;15;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
22;15;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
27;19;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
25;17;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
22;15;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
22;15;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
20;13;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
25;17;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
25;17;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
23;15;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
32;22;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
30;20;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
30;20;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
33;22;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
31;20;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
25;18;true;true;Conj (Var (O), Disj (Neg (Var (S (O))), Var (O)))
25;18;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
23;16;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
28;20;true;false;Conj (Var (O), Disj (Neg (Var (O)), Neg (Var (S (O)))))
24;17;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
22;15;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
22;15;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
20;13;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
25;17;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
30;20;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
17;13;true;false;Conj (Neg (Var (S (O))), Var (O))
17;13;false;true;Conj (Neg (Var (O)), Var (S (O)))
20;15;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
18;13;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
25;18;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
25;18;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
26;18;false;_;Conj (Neg (Var (O)), Disj (Var (O), Neg (Var (O))))
22;17;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
20;15;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
