unifs_etalon;unifs_originalFP;var0;var1;formula
18;23;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
22;28;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
26;32;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;30;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;30;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;30;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
22;28;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
28;36;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
24;30;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
22;28;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
20;24;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;22;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
26;32;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
26;32;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;30;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
28;34;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;32;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
32;40;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;32;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;30;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;40;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;40;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;38;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
30;38;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
18;22;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;20;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;25;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
26;32;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
24;30;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
24;30;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
24;30;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;30;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
22;28;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
28;36;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
26;32;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
32;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
30;38;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
24;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;28;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;33;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
28;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
32;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
30;38;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
30;38;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
34;44;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
30;38;true;true;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
28;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
24;30;true;true;Conj (Var (O), Conj (Conj (Var (S (O)), Var (O)), Var (O)))
26;32;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
24;30;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O)))
24;30;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;28;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
26;33;true;false;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
28;36;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O))))
32;40;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O)))))
30;38;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
30;38;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
28;36;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
34;44;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
14;17;false;true;Conj (Neg (Var (O)), Var (S (O)))
20;24;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
18;22;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
20;24;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;22;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
26;32;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
26;32;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
24;30;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
18;22;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
16;20;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
20;25;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
24;30;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
24;30;true;false;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
24;30;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
22;28;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
26;32;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;30;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
30;38;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;30;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;28;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
26;33;true;false;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
30;38;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
30;38;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
28;36;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
28;36;true;_;Conj (Conj (Var (O), Var (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
