unifs_ecceLP;unifs_originalLN;var0;var1;formula
37;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
33;37;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
39;43;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
45;50;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
41;48;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
33;37;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
23;21;true;false;Conj (Neg (Var (S (O))), Var (O))
23;21;false;true;Conj (Neg (Var (O)), Var (S (O)))
25;25;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
21;23;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
27;29;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
29;37;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
38;35;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
35;34;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
33;36;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
33;36;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Var (S (O))))
29;28;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
25;26;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
31;32;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;37;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
