unifs_ecceFP;unifs_originalLN;var0;var1;formula
36;33;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;33;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
38;37;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
36;33;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;33;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
32;31;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
34;35;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
34;35;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
44;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
40;42;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
38;37;false;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (S (O))))
37;32;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
33;30;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
35;34;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
45;43;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;30;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
29;28;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
33;36;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
44;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
40;42;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
45;43;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;39;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
35;34;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
33;36;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
21;17;true;true;Conj (Var (O), Var (S (O)))
17;15;true;_;Conj (Var (O), Var (O))
23;21;true;false;Conj (Var (O), Neg (Var (S (O))))
25;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
21;23;true;_;Conj (Var (O), Neg (Neg (Var (O))))
27;29;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
33;36;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
29;34;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;37;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
38;34;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
34;32;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
36;36;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O)))))
34;32;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
32;34;true;_;Conj (Var (O), Neg (Conj (Var (O), Neg (Var (O)))))
36;33;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
32;31;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
32;31;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
38;37;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
34;35;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
44;44;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
40;42;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
40;42;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
32;31;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
32;31;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
28;29;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
34;35;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
34;35;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
30;33;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
32;37;true;_;Conj (Var (O), Disj (Var (O), Neg (Neg (Var (O)))))
39;43;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
44;44;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
40;42;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
43;42;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
40;42;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
36;40;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
34;35;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
30;33;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
33;30;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
29;28;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
33;36;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
44;44;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
40;42;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
45;43;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
37;39;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
29;28;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
25;26;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
31;32;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
33;36;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
29;34;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
44;44;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
40;42;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
40;42;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
40;42;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
40;42;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
36;40;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
41;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
37;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
37;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
33;37;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
39;43;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
45;50;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
41;48;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
33;37;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
23;21;true;false;Conj (Neg (Var (S (O))), Var (O))
23;21;false;true;Conj (Neg (Var (O)), Var (S (O)))
25;25;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
21;23;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
27;29;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
29;37;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
36;36;false;true;Conj (Neg (Var (O)), Neg (Conj (Var (S (O)), Var (O))))
36;36;false;true;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (S (O)))))
32;34;false;_;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O))))
38;37;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
34;35;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
34;35;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
35;34;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
33;36;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
33;36;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Var (S (O))))
29;28;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
25;26;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
31;32;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;37;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
