unifs_consPDLN;unifs_originalLN;var0;var1;formula
11;28;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
16;37;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
16;37;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
14;35;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
10;24;false;false;Neg (Disj (Var (O), Var (S (O))))
8;22;false;_;Neg (Disj (Var (O), Var (O)))
11;28;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
10;30;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
14;38;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
12;36;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
16;37;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
14;35;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;35;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;35;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
14;35;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
12;33;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
11;28;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
12;23;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
10;21;true;false;Neg (Conj (Var (S (O)), Var (O)))
10;21;false;true;Neg (Conj (Var (S (O)), Var (O)))
10;21;false;false;Neg (Conj (Var (S (O)), Var (O)))
13;27;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
13;27;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
11;25;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;25;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;25;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
12;29;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
15;36;true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
16;37;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
14;35;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
14;35;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
16;34;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
16;34;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
14;32;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;32;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;32;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
10;21;true;false;Neg (Conj (Var (O), Var (S (O))))
10;21;false;true;Neg (Conj (Var (O), Var (S (O))))
10;21;false;false;Neg (Conj (Var (O), Var (S (O))))
8;19;false;_;Neg (Conj (Var (O), Var (O)))
11;25;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;25;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;25;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
9;23;true;_;Neg (Conj (Var (O), Neg (Var (O))))
9;23;false;_;Neg (Conj (Var (O), Neg (Var (O))))
12;29;false;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
10;27;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
13;34;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
16;37;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
16;37;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
14;35;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
14;35;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
12;33;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
16;34;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
16;34;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
16;34;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
14;32;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
14;32;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
14;32;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
15;36;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
14;32;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
14;32;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
12;30;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
15;36;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
11;25;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;25;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;25;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
9;23;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
9;23;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
10;27;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
13;34;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
12;30;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
11;22;_;true;Disj (Var (S (O)), Var (S (O)))
9;20;true;true;Disj (Var (S (O)), Var (O))
9;20;true;false;Disj (Var (S (O)), Var (O))
9;20;false;true;Disj (Var (S (O)), Var (O))
12;26;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
12;26;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
10;24;true;true;Disj (Var (S (O)), Neg (Var (O)))
10;24;false;true;Disj (Var (S (O)), Neg (Var (O)))
10;24;false;false;Disj (Var (S (O)), Neg (Var (O)))
11;28;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
11;28;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
11;28;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
14;35;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
14;35;false;false;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
15;36;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
13;34;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
13;34;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
17;35;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;33;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
15;33;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;31;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;31;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;31;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
16;37;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
17;42;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
17;42;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
9;20;true;true;Disj (Var (O), Var (S (O)))
9;20;true;false;Disj (Var (O), Var (S (O)))
9;20;false;true;Disj (Var (O), Var (S (O)))
7;18;true;_;Disj (Var (O), Var (O))
10;24;true;true;Disj (Var (O), Neg (Var (S (O))))
10;24;true;false;Disj (Var (O), Neg (Var (S (O))))
10;24;false;false;Disj (Var (O), Neg (Var (S (O))))
8;22;true;_;Disj (Var (O), Neg (Var (O)))
8;22;false;_;Disj (Var (O), Neg (Var (O)))
11;28;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
11;28;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
11;28;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
9;26;true;_;Disj (Var (O), Neg (Neg (Var (O))))
10;30;false;_;Disj (Var (O), Neg (Neg (Neg (Var (O)))))
14;38;false;false;Disj (Var (O), Neg (Disj (Var (O), Var (S (O)))))
12;36;false;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
14;35;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;35;false;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;35;false;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;35;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
14;35;false;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
12;33;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
12;33;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
15;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;36;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
13;34;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
13;34;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
14;38;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
13;34;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
11;32;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
12;36;false;_;Disj (Var (O), Disj (Var (O), Neg (Var (O))))
15;33;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;33;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;33;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;31;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
13;31;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
14;35;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
14;35;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
17;42;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
13;31;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
13;31;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
11;29;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
14;35;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
17;42;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
17;42;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
15;40;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
14;35;true;false;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
14;35;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
13;37;false;_;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (O))))
10;24;true;false;Disj (Neg (Var (S (O))), Var (O))
10;24;false;false;Disj (Neg (Var (S (O))), Var (O))
10;24;true;true;Disj (Neg (Var (O)), Var (S (O)))
10;24;false;true;Disj (Neg (Var (O)), Var (S (O)))
10;24;false;false;Disj (Neg (Var (O)), Var (S (O)))
8;22;true;_;Disj (Neg (Var (O)), Var (O))
8;22;false;_;Disj (Neg (Var (O)), Var (O))
11;28;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
11;28;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
11;28;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
9;26;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
12;36;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
16;37;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
14;35;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
14;35;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
12;33;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
12;33;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
13;31;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
13;31;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
13;31;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
11;29;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
12;33;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
11;19;_;true;Conj (Var (S (O)), Var (S (O)))
9;17;true;true;Conj (Var (S (O)), Var (O))
10;21;false;true;Conj (Var (S (O)), Neg (Var (O)))
13;27;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
11;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
12;29;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
15;36;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
14;35;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
16;34;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
16;34;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
14;32;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
17;35;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
15;33;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;33;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;33;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;33;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;31;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
14;35;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
14;35;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
17;42;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
17;32;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;30;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
16;34;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
21;43;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
19;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
15;30;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;28;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
15;36;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
17;42;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
21;43;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
19;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
19;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
17;39;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
16;34;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
15;36;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
9;17;true;true;Conj (Var (O), Var (S (O)))
7;15;true;_;Conj (Var (O), Var (O))
10;21;true;false;Conj (Var (O), Neg (Var (S (O))))
11;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
9;23;true;_;Conj (Var (O), Neg (Neg (Var (O))))
12;29;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
15;36;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
13;34;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
16;37;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
16;34;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
14;32;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
15;36;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O)))))
14;32;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
13;34;true;_;Conj (Var (O), Neg (Conj (Var (O), Neg (Var (O)))))
15;33;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
13;31;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
13;31;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
16;37;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
14;35;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
17;42;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
17;42;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
13;31;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
13;31;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
11;29;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
14;35;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
14;35;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
12;33;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
17;42;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
17;42;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
15;40;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
14;35;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
12;33;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
15;30;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;28;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
15;36;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
17;42;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
21;43;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
19;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
19;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;39;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
13;28;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
11;26;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
14;32;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
15;36;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
13;34;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
17;42;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
17;42;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
17;42;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
17;42;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
15;40;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
19;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
17;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
17;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
15;37;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
18;43;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
21;50;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
19;48;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
15;37;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
10;21;true;false;Conj (Neg (Var (S (O))), Var (O))
10;21;false;true;Conj (Neg (Var (O)), Var (S (O)))
11;25;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
9;23;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
12;29;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
13;37;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
15;36;false;true;Conj (Neg (Var (O)), Neg (Conj (Var (S (O)), Var (O))))
15;36;false;false;Conj (Neg (Var (O)), Neg (Conj (Var (S (O)), Var (O))))
15;36;false;false;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (S (O)))))
13;34;false;_;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O))))
16;37;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
14;35;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
14;35;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
13;37;false;_;Conj (Neg (Var (O)), Disj (Var (O), Neg (Var (O))))
16;34;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
15;36;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
15;36;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Var (S (O))))
13;28;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
11;26;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
14;32;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
15;37;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
