unifs_originalLP;unifs_ecceFN;var0;var1;formula
38;34;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;34;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
44;45;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;41;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
38;35;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
38;37;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
38;37;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
26;26;true;false;Neg (Conj (Var (O), Var (S (O))))
26;26;false;true;Neg (Conj (Var (O), Var (S (O))))
26;26;false;false;Neg (Conj (Var (O), Var (S (O))))
23;22;false;_;Neg (Conj (Var (O), Var (O)))
31;28;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;28;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
28;24;true;_;Neg (Conj (Var (O), Neg (Var (O))))
28;24;false;_;Neg (Conj (Var (O), Neg (Var (O))))
36;30;true;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
36;30;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
36;30;false;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
33;26;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
43;37;true;true;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
40;33;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
41;38;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
41;38;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
38;34;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
38;34;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
35;30;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
41;41;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;39;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;41;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;37;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;37;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
43;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
38;37;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
38;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
38;37;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
35;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
43;39;false;true;Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
31;28;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;28;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;28;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
28;24;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
28;24;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
36;30;true;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
36;30;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
33;26;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
40;33;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
38;35;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;35;_;true;Disj (Var (S (O)), Var (S (O)))
21;31;true;true;Disj (Var (S (O)), Var (O))
21;31;true;false;Disj (Var (S (O)), Var (O))
21;30;false;true;Disj (Var (S (O)), Var (O))
29;42;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
29;43;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
26;38;true;true;Disj (Var (S (O)), Neg (Var (O)))
26;39;false;true;Disj (Var (S (O)), Neg (Var (O)))
26;39;false;false;Disj (Var (S (O)), Neg (Var (O)))
36;52;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;48;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
21;31;true;true;Disj (Var (O), Var (S (O)))
21;30;true;false;Disj (Var (O), Var (S (O)))
21;31;false;true;Disj (Var (O), Var (S (O)))
18;27;true;_;Disj (Var (O), Var (O))
26;38;true;true;Disj (Var (O), Neg (Var (S (O))))
26;39;true;false;Disj (Var (O), Neg (Var (S (O))))
26;39;false;false;Disj (Var (O), Neg (Var (S (O))))
23;34;true;_;Disj (Var (O), Neg (Var (O)))
23;35;false;_;Disj (Var (O), Neg (Var (O)))
36;52;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;48;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
30;44;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
26;41;true;true;Disj (Neg (Var (O)), Var (S (O)))
23;37;true;_;Disj (Neg (Var (O)), Var (O))
23;36;false;_;Disj (Neg (Var (O)), Var (O))
33;43;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
33;42;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
33;42;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
30;39;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
35;43;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
42;52;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
24;26;_;true;Conj (Var (S (O)), Var (S (O)))
21;22;true;true;Conj (Var (S (O)), Var (O))
26;24;false;true;Conj (Var (S (O)), Neg (Var (O)))
34;30;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
31;26;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
36;28;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
43;35;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
38;32;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
41;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
41;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
38;35;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
36;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;43;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;44;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
39;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;35;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;37;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
51;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
48;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
36;35;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;31;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
43;35;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
51;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
48;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
48;44;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;40;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
41;40;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
21;22;true;true;Conj (Var (O), Var (S (O)))
18;18;true;_;Conj (Var (O), Var (O))
26;24;true;false;Conj (Var (O), Neg (Var (S (O))))
31;26;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
28;22;true;_;Conj (Var (O), Neg (Neg (Var (O))))
36;28;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
43;35;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
43;35;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
40;31;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
41;36;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
41;39;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;35;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
43;37;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O)))))
38;35;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
43;37;true;true;Conj (Var (O), Neg (Conj (Var (O), Neg (Var (S (O))))))
40;33;true;_;Conj (Var (O), Neg (Conj (Var (O), Neg (Var (O)))))
40;33;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
36;44;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;40;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
33;40;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
41;52;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
45;57;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
33;40;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
33;39;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
30;36;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
36;35;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;31;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
43;35;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
51;48;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
48;44;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
48;44;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;40;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;31;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
30;27;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
38;33;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
43;35;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
40;31;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
50;44;true;false;Conj (Var (O), Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
45;49;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
48;44;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
50;42;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
57;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
54;45;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
45;44;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;40;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
26;27;true;false;Conj (Neg (Var (S (O))), Var (O))
26;27;false;true;Conj (Neg (Var (O)), Var (S (O)))
31;29;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
28;25;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
40;36;false;_;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O))))
41;40;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
33;35;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
30;31;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
38;37;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
45;44;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
45;44;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
42;40;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
