unifs_originalLP;unifs_consPDFP;var0;var1;formula
31;11;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
28;9;true;_;Disj (Var (O), Neg (Neg (Var (O))))
40;13;true;_;Disj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;12;false;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
38;14;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;14;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;14;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
35;12;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
36;15;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;15;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;15;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;13;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;13;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;13;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;14;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
33;13;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
33;13;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
30;11;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
42;15;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
36;15;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;15;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;15;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;13;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
33;13;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;14;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
48;19;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;17;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;17;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;13;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
33;13;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
30;11;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
38;14;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
40;13;true;_;Disj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
42;15;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
48;19;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;17;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;17;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;15;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
38;14;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
35;12;true;_;Disj (Var (O), Conj (Neg (Var (O)), Var (O)))
26;10;true;true;Disj (Neg (Var (O)), Var (S (O)))
26;10;false;true;Disj (Neg (Var (O)), Var (S (O)))
26;10;false;false;Disj (Neg (Var (O)), Var (S (O)))
23;8;true;_;Disj (Neg (Var (O)), Var (O))
23;8;false;_;Disj (Neg (Var (O)), Var (O))
31;11;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
31;11;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
31;11;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
28;9;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
35;12;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
38;14;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
38;14;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
35;12;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
33;13;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
33;13;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
30;11;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
35;12;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
42;15;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
24;11;_;true;Conj (Var (S (O)), Var (S (O)))
21;9;true;true;Conj (Var (S (O)), Var (O))
26;10;false;true;Conj (Var (S (O)), Neg (Var (O)))
34;13;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
31;11;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
36;12;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
43;15;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
38;14;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
41;16;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
41;16;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
38;14;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
43;15;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
39;17;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
36;15;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;15;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;16;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
48;19;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
36;15;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;15;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;13;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
38;14;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
38;14;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
48;19;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
48;19;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
45;17;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
38;14;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
39;17;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;15;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;16;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
48;19;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
51;21;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
48;19;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
36;15;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;13;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
43;15;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
48;19;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
48;19;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
45;17;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
51;21;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
48;19;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
48;19;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;17;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
41;16;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
21;9;true;true;Conj (Var (O), Var (S (O)))
18;7;true;_;Conj (Var (O), Var (O))
26;10;true;false;Conj (Var (O), Neg (Var (S (O))))
31;11;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
28;9;true;_;Conj (Var (O), Neg (Neg (Var (O))))
36;12;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
40;13;true;_;Conj (Var (O), Neg (Neg (Disj (Var (O), Var (O)))))
43;15;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
43;15;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
40;13;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
41;16;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
41;16;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;14;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
43;15;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O)))))
38;14;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
40;13;true;_;Conj (Var (O), Neg (Conj (Var (O), Neg (Var (O)))))
40;13;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
36;15;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;13;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
33;13;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
41;16;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
38;14;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
48;19;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;17;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
45;17;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
33;13;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
33;13;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
30;11;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
38;14;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
38;14;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
35;12;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
40;13;true;_;Conj (Var (O), Disj (Var (O), Neg (Neg (Var (O)))))
42;15;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
48;19;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;17;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
45;17;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
45;17;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
42;15;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
38;14;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
35;12;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
36;15;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;13;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
43;15;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
48;19;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
48;19;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
45;17;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
51;21;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
48;19;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
48;19;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;17;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;13;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
30;11;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
38;14;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
43;15;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
40;13;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
48;19;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
45;17;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;17;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;17;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
45;17;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
42;15;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
48;19;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;17;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;17;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;15;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
50;18;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
57;21;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
54;19;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
45;17;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;15;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
26;10;true;false;Conj (Neg (Var (S (O))), Var (O))
26;10;false;true;Conj (Neg (Var (O)), Var (S (O)))
31;11;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
28;9;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
40;13;false;_;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O))))
38;14;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
38;14;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
41;16;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
33;13;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
30;11;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
38;14;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
42;15;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
45;17;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
45;17;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
42;15;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
