unifs_originalLimited;unifs_etalonLimited;var0;var1;formula
35;21;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
33;20;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
33;20;_;false;Disj (Neg (Var (S (O))), Var (S (O)))
30;18;true;true;Disj (Neg (Var (S (O))), Var (O))
30;18;true;false;Disj (Neg (Var (S (O))), Var (O))
30;18;false;false;Disj (Neg (Var (S (O))), Var (O))
39;23;_;false;Disj (Neg (Var (S (O))), Neg (Var (S (O))))
36;21;true;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
36;21;false;true;Disj (Neg (Var (S (O))), Neg (Var (O)))
36;21;false;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
50;30;_;true;Disj (Neg (Var (S (O))), Disj (Var (S (O)), Var (S (O))))
47;28;true;true;Disj (Neg (Var (S (O))), Disj (Var (S (O)), Var (O)))
47;28;true;false;Disj (Neg (Var (S (O))), Disj (Var (S (O)), Var (O)))
47;28;false;true;Disj (Neg (Var (S (O))), Disj (Var (S (O)), Var (O)))
47;28;true;true;Disj (Neg (Var (S (O))), Disj (Var (O), Var (S (O))))
47;28;true;false;Disj (Neg (Var (S (O))), Disj (Var (O), Var (S (O))))
47;28;false;true;Disj (Neg (Var (S (O))), Disj (Var (O), Var (S (O))))
44;26;true;true;Disj (Neg (Var (S (O))), Disj (Var (O), Var (O)))
44;26;true;false;Disj (Neg (Var (S (O))), Disj (Var (O), Var (O)))
50;30;_;true;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (S (O))))
50;30;_;false;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (S (O))))
47;28;true;true;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (O)))
47;28;true;false;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (O)))
47;28;false;false;Disj (Neg (Var (S (O))), Conj (Var (S (O)), Var (O)))
47;28;true;true;Disj (Neg (Var (S (O))), Conj (Var (O), Var (S (O))))
47;28;true;false;Disj (Neg (Var (S (O))), Conj (Var (O), Var (S (O))))
47;28;false;false;Disj (Neg (Var (S (O))), Conj (Var (O), Var (S (O))))
44;26;true;true;Disj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
44;26;true;false;Disj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
44;26;false;false;Disj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
30;18;true;true;Disj (Neg (Var (O)), Var (S (O)))
30;18;false;true;Disj (Neg (Var (O)), Var (S (O)))
30;18;false;false;Disj (Neg (Var (O)), Var (S (O)))
27;16;true;_;Disj (Neg (Var (O)), Var (O))
27;16;false;_;Disj (Neg (Var (O)), Var (O))
36;21;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
36;21;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
36;21;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
33;19;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
47;28;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
47;28;false;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
47;28;false;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
44;26;true;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
44;26;true;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
44;26;false;true;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
44;26;false;false;Disj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
44;26;true;true;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
44;26;true;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
44;26;false;true;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
44;26;false;false;Disj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
41;24;true;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
41;24;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
47;28;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
47;28;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
47;28;false;false;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
44;26;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
44;26;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
44;26;false;false;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
44;26;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
44;26;false;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
44;26;false;false;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
41;24;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
41;24;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
41;25;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
41;25;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
41;25;true;true;Disj (Disj (Var (S (O)), Var (O)), Var (S (O)))
41;25;false;true;Disj (Disj (Var (S (O)), Var (O)), Var (S (O)))
38;23;true;true;Disj (Disj (Var (S (O)), Var (O)), Var (O))
38;23;true;false;Disj (Disj (Var (S (O)), Var (O)), Var (O))
38;23;false;true;Disj (Disj (Var (S (O)), Var (O)), Var (O))
47;28;true;true;Disj (Disj (Var (S (O)), Var (O)), Neg (Var (S (O))))
47;28;true;false;Disj (Disj (Var (S (O)), Var (O)), Neg (Var (S (O))))
47;28;false;true;Disj (Disj (Var (S (O)), Var (O)), Neg (Var (S (O))))
44;26;true;true;Disj (Disj (Var (S (O)), Var (O)), Neg (Var (O)))
44;26;false;true;Disj (Disj (Var (S (O)), Var (O)), Neg (Var (O)))
58;35;true;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (S (O))))
58;35;false;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (S (O))))
55;33;true;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (O)))
55;33;true;false;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (O)))
55;33;false;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (O)))
55;33;true;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (S (O))))
55;33;true;false;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (S (O))))
55;33;false;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (S (O))))
52;31;true;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
52;31;true;false;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
52;31;false;true;Disj (Disj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
58;35;true;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (S (O))))
58;35;true;false;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (S (O))))
58;35;false;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (S (O))))
55;33;true;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (O)))
55;33;false;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (O)))
55;33;true;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (O), Var (S (O))))
55;33;false;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (O), Var (S (O))))
52;31;true;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
52;31;true;false;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
52;31;false;true;Disj (Disj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
41;25;true;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
41;25;true;false;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
41;25;false;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
38;23;true;true;Disj (Disj (Var (O), Var (S (O))), Var (O))
38;23;true;false;Disj (Disj (Var (O), Var (S (O))), Var (O))
47;28;true;true;Disj (Disj (Var (O), Var (S (O))), Neg (Var (S (O))))
47;28;true;false;Disj (Disj (Var (O), Var (S (O))), Neg (Var (S (O))))
44;26;true;true;Disj (Disj (Var (O), Var (S (O))), Neg (Var (O)))
44;26;true;false;Disj (Disj (Var (O), Var (S (O))), Neg (Var (O)))
44;26;false;true;Disj (Disj (Var (O), Var (S (O))), Neg (Var (O)))
58;35;true;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
58;35;true;false;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
58;35;false;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
55;33;true;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
55;33;true;false;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
55;33;false;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
55;33;true;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
55;33;true;false;Disj (Disj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
55;33;false;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
52;31;true;true;Disj (Disj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
52;31;true;false;Disj (Disj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
58;35;true;true;Disj (Disj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
58;35;true;false;Disj (Disj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
58;35;false;true;Disj (Disj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
55;33;true;true;Disj (Disj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
55;33;true;false;Disj (Disj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
55;33;true;true;Disj (Disj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
55;33;true;false;Disj (Disj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
52;31;true;true;Disj (Disj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
52;31;true;false;Disj (Disj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
52;31;false;true;Disj (Disj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
38;23;true;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
38;23;true;false;Disj (Disj (Var (O), Var (O)), Var (S (O)))
35;21;true;_;Disj (Disj (Var (O), Var (O)), Var (O))
44;26;true;true;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
44;26;true;false;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
41;24;true;_;Disj (Disj (Var (O), Var (O)), Neg (Var (O)))
55;33;true;true;Disj (Disj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
55;33;true;false;Disj (Disj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
55;33;false;true;Disj (Disj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
52;31;true;true;Disj (Disj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;31;true;false;Disj (Disj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;31;true;true;Disj (Disj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
52;31;true;false;Disj (Disj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
49;29;true;_;Disj (Disj (Var (O), Var (O)), Disj (Var (O), Var (O)))
55;33;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
55;33;true;false;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
55;33;false;true;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
52;31;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;31;true;false;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;31;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
52;31;true;false;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;29;true;_;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
44;27;_;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (S (O)))
41;25;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
41;25;true;false;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
41;25;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
50;30;_;true;Disj (Conj (Var (S (O)), Var (S (O))), Neg (Var (S (O))))
50;30;_;false;Disj (Conj (Var (S (O)), Var (S (O))), Neg (Var (S (O))))
47;28;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Neg (Var (O)))
47;28;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Neg (Var (O)))
47;28;false;false;Disj (Conj (Var (S (O)), Var (S (O))), Neg (Var (O)))
61;37;_;true;Disj (Conj (Var (S (O)), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
58;35;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Disj (Var (S (O)), Var (O)))
58;35;true;false;Disj (Conj (Var (S (O)), Var (S (O))), Disj (Var (S (O)), Var (O)))
58;35;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Disj (Var (S (O)), Var (O)))
58;35;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Disj (Var (O), Var (S (O))))
58;35;true;false;Disj (Conj (Var (S (O)), Var (S (O))), Disj (Var (O), Var (S (O))))
58;35;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Disj (Var (O), Var (S (O))))
55;33;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Disj (Var (O), Var (O)))
55;33;true;false;Disj (Conj (Var (S (O)), Var (S (O))), Disj (Var (O), Var (O)))
55;33;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Disj (Var (O), Var (O)))
61;37;_;true;Disj (Conj (Var (S (O)), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
58;35;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Conj (Var (S (O)), Var (O)))
58;35;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Conj (Var (S (O)), Var (O)))
58;35;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Conj (Var (O), Var (S (O))))
58;35;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Conj (Var (O), Var (S (O))))
55;33;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Conj (Var (O), Var (O)))
55;33;true;false;Disj (Conj (Var (S (O)), Var (S (O))), Conj (Var (O), Var (O)))
55;33;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Conj (Var (O), Var (O)))
41;25;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
41;25;false;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
38;23;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
38;23;true;false;Disj (Conj (Var (S (O)), Var (O)), Var (O))
47;28;true;true;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (S (O))))
47;28;true;false;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (S (O))))
47;28;false;false;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (S (O))))
44;26;true;true;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (O)))
44;26;false;true;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (O)))
44;26;false;false;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (O)))
58;35;true;true;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (S (O))))
58;35;false;true;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (S (O))))
55;33;true;true;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (O)))
55;33;true;false;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (O)))
55;33;false;true;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (S (O)), Var (O)))
55;33;true;true;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (O), Var (S (O))))
55;33;true;false;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (O), Var (S (O))))
55;33;false;true;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (O), Var (S (O))))
52;31;true;true;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
52;31;true;false;Disj (Conj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
58;35;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (S (O))))
58;35;false;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (S (O))))
55;33;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (O)))
55;33;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (S (O))))
52;31;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
52;31;true;false;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
41;25;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
41;25;false;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
38;23;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
38;23;true;false;Disj (Conj (Var (O), Var (S (O))), Var (O))
47;28;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (S (O))))
47;28;true;false;Disj (Conj (Var (O), Var (S (O))), Neg (Var (S (O))))
47;28;false;false;Disj (Conj (Var (O), Var (S (O))), Neg (Var (S (O))))
44;26;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
44;26;false;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
44;26;false;false;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
58;35;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
58;35;false;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
55;33;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
55;33;true;false;Disj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
55;33;false;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
55;33;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
55;33;true;false;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
55;33;false;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
52;31;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
52;31;true;false;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
58;35;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
58;35;false;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
55;33;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
55;33;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
52;31;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
52;31;true;false;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
38;23;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
38;23;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
38;23;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
35;21;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
44;26;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
44;26;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
44;26;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
41;24;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
41;24;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
55;33;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
55;33;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
55;33;false;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
52;31;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;31;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;31;false;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;31;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
52;31;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
52;31;false;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
49;29;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
55;33;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
55;33;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
55;33;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
52;31;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;31;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;31;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
52;31;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;29;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
27;17;_;true;Conj (Var (S (O)), Var (S (O)))
24;15;true;true;Conj (Var (S (O)), Var (O))
30;18;false;true;Conj (Var (S (O)), Neg (Var (O)))
44;27;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
41;25;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;25;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;25;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;25;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;23;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
44;27;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;25;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;25;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;23;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
24;15;true;true;Conj (Var (O), Var (S (O)))
21;13;true;_;Conj (Var (O), Var (O))
30;18;true;false;Conj (Var (O), Neg (Var (S (O))))
41;25;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
