unifs_consPD;unifs_original;var0;var1;formula
10;26;true;false;Disj (Var (O), Neg (Var (S (O))))
10;26;false;false;Disj (Var (O), Neg (Var (S (O))))
8;23;true;_;Disj (Var (O), Neg (Var (O)))
8;23;false;_;Disj (Var (O), Neg (Var (O)))
11;31;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
11;31;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
11;31;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
9;28;true;_;Disj (Var (O), Neg (Neg (Var (O))))
13;40;true;_;Disj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
12;35;false;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
14;38;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;38;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;38;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
12;35;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
15;36;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;36;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
13;33;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
13;33;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
13;33;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
14;38;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
13;33;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
13;33;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
11;30;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
15;42;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
15;36;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;36;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;36;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;33;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
13;33;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
14;38;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
19;48;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;45;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
17;45;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
13;33;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
13;33;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
11;30;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
14;38;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
13;40;true;_;Disj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
15;42;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
19;48;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
17;45;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
17;45;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
15;42;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
14;38;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
12;35;true;_;Disj (Var (O), Conj (Neg (Var (O)), Var (O)))
10;26;true;true;Disj (Neg (Var (O)), Var (S (O)))
10;26;false;true;Disj (Neg (Var (O)), Var (S (O)))
10;26;false;false;Disj (Neg (Var (O)), Var (S (O)))
8;23;true;_;Disj (Neg (Var (O)), Var (O))
8;23;false;_;Disj (Neg (Var (O)), Var (O))
11;31;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
11;31;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
11;31;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
9;28;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
12;35;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
14;38;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
14;38;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
12;35;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
13;33;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
13;33;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
11;30;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
12;35;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
15;42;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
11;24;_;true;Conj (Var (S (O)), Var (S (O)))
9;21;true;true;Conj (Var (S (O)), Var (O))
10;26;false;true;Conj (Var (S (O)), Neg (Var (O)))
13;34;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
11;31;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
12;36;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
15;43;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
14;38;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
16;41;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
16;41;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
14;38;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
15;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
17;39;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
15;36;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;36;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
16;41;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
19;48;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
15;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;36;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;33;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
14;38;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
14;38;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
19;48;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
19;48;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
17;45;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
14;38;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
17;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;36;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
16;41;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
19;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
21;51;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
19;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
15;36;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
15;43;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
19;48;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
19;48;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
17;45;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
21;51;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
19;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
19;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
17;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
16;41;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
9;21;true;true;Conj (Var (O), Var (S (O)))
7;18;true;_;Conj (Var (O), Var (O))
10;26;true;false;Conj (Var (O), Neg (Var (S (O))))
11;31;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
9;28;true;_;Conj (Var (O), Neg (Neg (Var (O))))
12;36;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
13;40;true;_;Conj (Var (O), Neg (Neg (Disj (Var (O), Var (O)))))
15;43;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
15;43;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
13;40;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
16;41;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
16;41;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
14;38;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
15;43;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O)))))
14;38;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
13;40;true;_;Conj (Var (O), Neg (Conj (Var (O), Neg (Var (O)))))
13;40;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
15;36;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
13;33;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
13;33;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
16;41;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
14;38;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
19;48;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;45;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
17;45;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
13;33;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
13;33;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
11;30;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
14;38;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
14;38;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
12;35;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
13;40;true;_;Conj (Var (O), Disj (Var (O), Neg (Neg (Var (O)))))
15;42;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
19;48;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
17;45;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
17;45;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
17;45;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
15;42;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
14;38;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
12;35;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
15;36;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
15;43;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
19;48;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
19;48;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
17;45;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
21;51;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
19;48;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
19;48;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
13;33;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
11;30;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
14;38;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
15;43;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
13;40;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
19;48;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
17;45;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
17;45;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
17;45;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
17;45;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
15;42;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
19;48;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
17;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
17;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
15;42;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
18;50;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
21;57;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
19;54;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
17;45;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
15;42;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
10;26;true;false;Conj (Neg (Var (S (O))), Var (O))
10;26;false;true;Conj (Neg (Var (O)), Var (S (O)))
11;31;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
9;28;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
13;40;false;_;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O))))
14;38;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
14;38;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
16;41;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
13;33;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
11;30;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
14;38;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
15;42;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
17;45;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
17;45;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
15;42;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
