unifs_etalonLimited;unifs_geoff;var0;var1;formula
23;18;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;18;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;18;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
23;18;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
23;18;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
23;18;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
21;16;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
25;20;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
25;20;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
25;20;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
23;18;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
23;18;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
23;18;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
23;18;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
21;16;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
23;18;true;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
23;18;true;false;Disj (Disj (Var (O), Var (O)), Var (S (O)))
21;16;true;_;Disj (Disj (Var (O), Var (O)), Var (O))
29;22;true;_;Disj (Disj (Var (O), Var (O)), Disj (Var (O), Var (O)))
31;24;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;24;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;22;true;_;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
25;20;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
25;20;false;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
23;18;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
31;24;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
25;20;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
23;18;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
23;18;true;false;Disj (Conj (Var (O), Var (S (O))), Var (O))
33;26;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
33;26;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
31;24;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
31;24;true;false;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
35;28;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
33;26;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
33;26;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
31;24;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
31;24;true;false;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
23;18;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
23;18;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
21;16;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
26;20;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
26;20;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
24;18;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
33;26;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
31;24;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
31;24;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
31;24;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
31;24;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
29;22;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
33;26;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
31;24;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;24;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;24;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
31;24;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;22;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
17;14;_;true;Conj (Var (S (O)), Var (S (O)))
15;12;true;true;Conj (Var (S (O)), Var (O))
18;14;false;true;Conj (Var (S (O)), Neg (Var (O)))
27;22;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
25;20;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;20;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;20;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;20;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
23;18;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
27;22;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
25;20;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;20;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
23;18;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
15;12;true;true;Conj (Var (O), Var (S (O)))
13;10;true;_;Conj (Var (O), Var (O))
18;14;true;false;Conj (Var (O), Neg (Var (S (O))))
25;20;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
23;18;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
23;18;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
23;18;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
23;18;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
21;16;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
25;20;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
23;18;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
23;18;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
21;16;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
18;14;false;true;Conj (Neg (Var (O)), Var (S (O)))
25;20;true;true;Conj (Disj (Var (O), Var (S (O))), Var (S (O)))
23;18;true;true;Conj (Disj (Var (O), Var (S (O))), Var (O))
23;18;true;true;Conj (Disj (Var (O), Var (O)), Var (S (O)))
21;16;true;_;Conj (Disj (Var (O), Var (O)), Var (O))
26;20;true;false;Conj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
31;24;true;true;Conj (Disj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
31;24;true;true;Conj (Disj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
29;22;true;_;Conj (Disj (Var (O), Var (O)), Disj (Var (O), Var (O)))
33;26;true;true;Conj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
31;24;true;true;Conj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;24;true;true;Conj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;22;true;_;Conj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
25;20;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
23;18;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
31;24;true;true;Conj (Conj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
33;26;true;true;Conj (Conj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (O)))
33;26;true;true;Conj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (S (O))))
31;24;true;true;Conj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
25;20;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
23;18;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
35;28;true;true;Conj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
33;26;true;true;Conj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
33;26;true;true;Conj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
31;24;true;true;Conj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
35;28;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
33;26;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
33;26;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
31;24;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
23;18;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
21;16;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
26;20;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;26;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
31;24;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
31;24;true;false;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
31;24;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
31;24;true;false;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
29;22;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
33;26;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
31;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;22;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
