unifs_consPD;unifs_geoff;var0;var1;formula
13;18;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
13;18;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
17;22;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;20;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
19;26;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
15;20;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
15;20;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;18;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;18;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;18;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
19;26;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
19;26;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
17;24;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
17;24;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
9;12;true;true;Disj (Var (O), Var (S (O)))
9;12;true;false;Disj (Var (O), Var (S (O)))
9;12;false;true;Disj (Var (O), Var (S (O)))
7;10;true;_;Disj (Var (O), Var (O))
10;14;true;true;Disj (Var (O), Neg (Var (S (O))))
10;14;true;false;Disj (Var (O), Neg (Var (S (O))))
10;14;false;false;Disj (Var (O), Neg (Var (S (O))))
8;12;true;_;Disj (Var (O), Neg (Var (O)))
8;12;false;_;Disj (Var (O), Neg (Var (O)))
14;20;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
12;18;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
15;20;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;20;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;20;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
13;18;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
13;18;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
13;18;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
13;18;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
13;18;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
11;16;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
15;22;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
15;20;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;20;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;20;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;18;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
13;18;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
21;28;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
19;26;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
19;26;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;24;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
17;24;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
13;18;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
13;18;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
11;16;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
14;20;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
15;22;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
19;26;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
17;24;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
17;24;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
15;22;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
19;28;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
17;24;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
15;22;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
15;20;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
13;18;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
13;18;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
13;18;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
11;16;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
14;20;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
12;18;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
17;24;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
17;24;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
15;22;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
11;14;_;true;Conj (Var (S (O)), Var (S (O)))
9;12;true;true;Conj (Var (S (O)), Var (O))
10;14;false;true;Conj (Var (S (O)), Neg (Var (O)))
16;22;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
16;22;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
17;22;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
15;20;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;20;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
19;26;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
15;20;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;20;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;18;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
19;26;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
19;26;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
17;24;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
17;22;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;20;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
16;22;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
19;26;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
23;30;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
21;28;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
21;28;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
19;26;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
23;32;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
15;20;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;18;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
19;26;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
19;26;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
17;24;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
21;28;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
19;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
23;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
19;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
17;24;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
23;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
23;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
21;30;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
21;30;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
19;26;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
19;26;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
17;24;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
21;30;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
9;12;true;true;Conj (Var (O), Var (S (O)))
7;10;true;_;Conj (Var (O), Var (O))
10;14;true;false;Conj (Var (O), Neg (Var (S (O))))
11;16;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
9;14;true;_;Conj (Var (O), Neg (Neg (Var (O))))
14;20;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;20;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
15;20;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
13;18;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
13;18;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
19;26;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
19;26;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;24;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
17;24;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
13;18;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
13;18;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
11;16;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
14;20;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
14;20;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
12;18;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
15;22;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
19;26;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
17;24;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
17;24;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
17;24;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
15;22;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
19;28;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
17;24;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
15;22;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
15;20;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;18;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
19;26;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
19;26;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
17;24;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
21;28;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
19;26;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
23;32;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
19;26;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;24;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
23;32;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
23;32;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
21;30;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
21;30;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
13;18;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
11;16;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
14;20;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
19;26;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
17;24;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
17;24;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
17;24;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
17;24;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
15;22;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
19;28;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
19;26;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
17;24;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
23;32;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
23;32;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
21;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
17;24;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
15;22;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
18;26;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
19;28;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
23;32;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
21;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
21;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
19;28;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
23;34;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
21;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
19;28;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
17;24;true;true;Conj (Var (O), Conj (Conj (Var (S (O)), Var (O)), Var (O)))
19;26;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
17;24;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O)))
21;30;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O))))
17;24;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
15;22;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
18;26;true;false;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
19;28;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O))))
23;32;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O)))))
21;30;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
21;30;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
19;28;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
23;34;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
10;14;false;true;Conj (Neg (Var (O)), Var (S (O)))
15;20;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
13;18;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
15;20;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
13;18;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
19;26;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
19;26;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
17;24;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
13;18;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
11;16;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
14;20;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
17;24;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
17;24;true;false;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
17;24;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
15;22;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
19;26;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
17;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
21;30;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
17;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
15;22;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
18;26;true;false;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
21;30;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
21;30;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
19;28;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
19;28;true;_;Conj (Conj (Var (O), Var (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
