unifs_etalonLimited;unifs_ecce;var0;var1;formula
25;47;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;47;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
25;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
23;43;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
23;43;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
23;43;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
15;28;true;true;Disj (Var (O), Var (S (O)))
15;28;true;false;Disj (Var (O), Var (S (O)))
15;28;false;true;Disj (Var (O), Var (S (O)))
13;24;true;_;Disj (Var (O), Var (O))
18;34;true;true;Disj (Var (O), Neg (Var (S (O))))
18;34;true;false;Disj (Var (O), Neg (Var (S (O))))
18;34;false;false;Disj (Var (O), Neg (Var (S (O))))
16;30;true;_;Disj (Var (O), Neg (Var (O)))
16;30;false;_;Disj (Var (O), Neg (Var (O)))
23;43;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
23;43;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
23;43;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
21;39;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
25;47;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
25;47;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
25;47;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
23;43;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
23;43;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
23;43;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
23;43;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
21;39;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;36;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
20;36;_;false;Disj (Neg (Var (S (O))), Var (S (O)))
18;32;true;true;Disj (Neg (Var (S (O))), Var (O))
18;32;true;false;Disj (Neg (Var (S (O))), Var (O))
18;32;false;false;Disj (Neg (Var (S (O))), Var (O))
21;37;true;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
18;32;true;true;Disj (Neg (Var (O)), Var (S (O)))
18;32;false;true;Disj (Neg (Var (O)), Var (S (O)))
18;32;false;false;Disj (Neg (Var (O)), Var (S (O)))
16;28;true;_;Disj (Neg (Var (O)), Var (O))
16;28;false;_;Disj (Neg (Var (O)), Var (O))
21;37;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
21;37;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
21;37;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
19;33;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
26;45;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
26;45;false;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
26;45;false;false;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
24;41;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
24;41;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
27;48;_;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (S (O)))
25;44;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
25;44;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
25;44;true;true;Disj (Disj (Var (S (O)), Var (O)), Var (S (O)))
23;40;true;true;Disj (Disj (Var (S (O)), Var (O)), Var (O))
23;40;true;false;Disj (Disj (Var (S (O)), Var (O)), Var (O))
23;40;false;true;Disj (Disj (Var (S (O)), Var (O)), Var (O))
25;44;true;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
25;44;false;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
23;40;true;true;Disj (Disj (Var (O), Var (S (O))), Var (O))
23;40;true;false;Disj (Disj (Var (O), Var (S (O))), Var (O))
26;45;true;true;Disj (Disj (Var (O), Var (S (O))), Neg (Var (O)))
23;40;true;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
23;40;true;false;Disj (Disj (Var (O), Var (O)), Var (S (O)))
21;36;true;_;Disj (Disj (Var (O), Var (O)), Var (O))
26;45;true;true;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
26;45;true;false;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
24;41;true;_;Disj (Disj (Var (O), Var (O)), Neg (Var (O)))
31;53;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
31;53;true;false;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;49;true;_;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
27;48;_;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (S (O)))
25;44;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
25;44;true;false;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
25;44;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
28;49;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Neg (Var (O)))
25;44;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
25;44;false;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
23;40;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
23;40;true;false;Disj (Conj (Var (S (O)), Var (O)), Var (O))
28;49;true;true;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (S (O))))
26;45;true;true;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (O)))
33;57;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (S (O))))
31;53;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
25;44;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
25;44;false;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
23;40;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
23;40;true;false;Disj (Conj (Var (O), Var (S (O))), Var (O))
28;49;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (S (O))))
26;45;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
26;45;false;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
33;57;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
31;53;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
23;40;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
23;40;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
23;40;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
21;36;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
26;45;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
26;45;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
26;45;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
24;41;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
24;41;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
31;53;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
31;53;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
31;53;false;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
29;49;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
33;57;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
33;57;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
33;57;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
31;53;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;53;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
31;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;49;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
17;25;_;true;Conj (Var (S (O)), Var (S (O)))
15;21;true;true;Conj (Var (S (O)), Var (O))
18;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
27;44;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
25;40;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;40;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;40;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
23;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
27;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
25;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
23;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
15;21;true;true;Conj (Var (O), Var (S (O)))
13;17;true;_;Conj (Var (O), Var (O))
18;23;true;false;Conj (Var (O), Neg (Var (S (O))))
25;40;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
23;36;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
23;36;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
23;36;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
23;36;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
21;32;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
25;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
23;29;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
23;29;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
21;25;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
18;23;true;false;Conj (Neg (Var (S (O))), Var (O))
23;29;_;false;Conj (Neg (Var (S (O))), Neg (Var (S (O))))
21;25;false;false;Conj (Neg (Var (S (O))), Neg (Var (O)))
26;31;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
18;23;false;true;Conj (Neg (Var (O)), Var (S (O)))
21;25;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
19;21;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
26;38;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
28;35;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
25;33;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
23;29;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
25;33;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
23;29;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
33;41;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
31;37;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
23;29;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
21;25;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
26;31;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;41;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
31;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;33;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
