unifs_originalLimited;unifs_geoff;var0;var1;formula
52;24;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;24;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
52;24;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;22;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
27;14;_;true;Conj (Var (S (O)), Var (S (O)))
24;12;true;true;Conj (Var (S (O)), Var (O))
30;14;false;true;Conj (Var (S (O)), Neg (Var (O)))
44;22;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
41;20;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;20;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;20;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;20;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;18;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
44;22;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;20;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;20;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;18;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
24;12;true;true;Conj (Var (O), Var (S (O)))
21;10;true;_;Conj (Var (O), Var (O))
30;14;true;false;Conj (Var (O), Neg (Var (S (O))))
41;20;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
38;18;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
38;18;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
38;18;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
38;18;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
35;16;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
41;20;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
38;18;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
38;18;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
35;16;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
30;14;false;true;Conj (Neg (Var (O)), Var (S (O)))
41;20;true;true;Conj (Disj (Var (O), Var (S (O))), Var (S (O)))
38;18;true;true;Conj (Disj (Var (O), Var (S (O))), Var (O))
38;18;true;true;Conj (Disj (Var (O), Var (O)), Var (S (O)))
35;16;true;_;Conj (Disj (Var (O), Var (O)), Var (O))
44;20;true;false;Conj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
52;24;true;true;Conj (Disj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;24;true;true;Conj (Disj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
49;22;true;_;Conj (Disj (Var (O), Var (O)), Disj (Var (O), Var (O)))
55;26;true;true;Conj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
52;24;true;true;Conj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;24;true;true;Conj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;22;true;_;Conj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
41;20;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
38;18;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
52;24;true;true;Conj (Conj (Var (S (O)), Var (O)), Disj (Var (O), Var (O)))
55;26;true;true;Conj (Conj (Var (S (O)), Var (O)), Conj (Var (S (O)), Var (O)))
55;26;true;true;Conj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (S (O))))
52;24;true;true;Conj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
41;20;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
38;18;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
58;28;true;true;Conj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (S (O))))
55;26;true;true;Conj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
55;26;true;true;Conj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
52;24;true;true;Conj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
58;28;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
55;26;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
55;26;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
52;24;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
38;18;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
35;16;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
44;20;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
55;26;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
52;24;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;24;true;false;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
52;24;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
52;24;true;false;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
49;22;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
55;26;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
52;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;22;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
