unifs_consPD;unifs_ecce;var0;var1;formula
9;30;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
10;35;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
14;42;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
11;32;_;true;Disj (Var (S (O)), Var (S (O)))
9;28;true;true;Disj (Var (S (O)), Var (O))
9;28;true;false;Disj (Var (S (O)), Var (O))
9;28;false;true;Disj (Var (S (O)), Var (O))
12;38;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
12;38;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
10;34;true;true;Disj (Var (S (O)), Neg (Var (O)))
10;34;false;true;Disj (Var (S (O)), Neg (Var (O)))
10;34;false;false;Disj (Var (S (O)), Neg (Var (O)))
15;47;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;43;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
13;43;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
13;43;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
17;51;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;47;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
15;47;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
15;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;43;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;43;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;43;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
9;28;true;true;Disj (Var (O), Var (S (O)))
9;28;true;false;Disj (Var (O), Var (S (O)))
9;28;false;true;Disj (Var (O), Var (S (O)))
7;24;true;_;Disj (Var (O), Var (O))
10;34;true;true;Disj (Var (O), Neg (Var (S (O))))
10;34;true;false;Disj (Var (O), Neg (Var (S (O))))
10;34;false;false;Disj (Var (O), Neg (Var (S (O))))
8;30;true;_;Disj (Var (O), Neg (Var (O)))
8;30;false;_;Disj (Var (O), Neg (Var (O)))
13;43;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
13;43;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
11;39;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
15;47;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;47;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;47;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;43;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
13;43;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
13;43;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
13;43;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
11;39;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
12;36;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
10;32;true;true;Disj (Neg (Var (S (O))), Var (O))
10;32;true;false;Disj (Neg (Var (S (O))), Var (O))
10;32;false;false;Disj (Neg (Var (S (O))), Var (O))
10;32;true;true;Disj (Neg (Var (O)), Var (S (O)))
10;32;false;true;Disj (Neg (Var (O)), Var (S (O)))
10;32;false;false;Disj (Neg (Var (O)), Var (S (O)))
8;28;true;_;Disj (Neg (Var (O)), Var (O))
8;28;false;_;Disj (Neg (Var (O)), Var (O))
11;37;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
11;37;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
11;37;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
9;33;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
14;45;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
12;41;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
15;44;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
13;40;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
13;40;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
13;40;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
11;36;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
14;45;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
12;41;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
17;53;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
17;53;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
15;49;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
11;25;_;true;Conj (Var (S (O)), Var (S (O)))
9;21;true;true;Conj (Var (S (O)), Var (O))
10;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
13;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
11;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
12;27;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
17;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
15;33;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
14;31;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
16;42;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
14;38;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
17;44;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
15;40;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;40;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;40;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
14;40;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
17;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
16;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
17;37;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
23;49;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
21;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
21;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
19;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
15;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
17;37;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
15;33;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
21;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
19;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
19;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
17;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
23;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
21;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
16;35;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
15;33;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
22;47;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
19;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
17;37;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
9;21;true;true;Conj (Var (O), Var (S (O)))
7;17;true;_;Conj (Var (O), Var (O))
10;23;true;false;Conj (Var (O), Neg (Var (S (O))))
11;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
9;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
12;27;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
11;25;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
17;37;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
15;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
15;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
13;29;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
16;35;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
15;33;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
15;33;true;false;Conj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
16;42;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
14;38;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;38;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
15;42;true;true;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
15;42;true;false;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
13;38;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
15;40;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
13;36;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
13;36;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
14;42;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
13;36;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
13;36;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
11;32;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
12;38;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
14;40;true;false;Conj (Var (O), Disj (Neg (Var (S (O))), Var (O)))
14;40;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
12;36;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
17;48;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
15;44;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
15;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;29;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
17;37;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
15;33;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
21;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
19;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
19;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;37;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
23;49;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
21;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
13;29;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
11;25;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
14;31;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
15;33;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
13;29;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
20;43;true;false;Conj (Var (O), Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O))))))
17;44;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
17;44;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
15;40;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
19;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
17;37;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
23;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
21;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
17;37;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
15;33;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
18;39;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
17;37;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O))))))
23;49;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
21;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
21;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
19;41;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
18;39;true;false;Conj (Var (O), Conj (Var (O), Conj (Neg (Var (S (O))), Var (O))))
21;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
19;41;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
14;31;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Var (O)))
17;37;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Neg (Var (S (O)))))
18;39;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Conj (Var (O), Var (O))))
19;41;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
17;37;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O)))
17;37;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
15;33;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
18;39;true;false;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
23;49;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O)))))
21;45;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
21;45;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
19;41;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
10;23;true;false;Conj (Neg (Var (S (O))), Var (O))
13;29;_;false;Conj (Neg (Var (S (O))), Neg (Var (S (O))))
11;25;false;false;Conj (Neg (Var (S (O))), Neg (Var (O)))
12;27;true;false;Conj (Neg (Var (S (O))), Neg (Neg (Var (O))))
14;31;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
10;23;false;true;Conj (Neg (Var (O)), Var (S (O)))
11;25;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
9;21;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
12;27;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
11;25;false;_;Conj (Neg (Var (O)), Neg (Neg (Neg (Var (O)))))
15;33;false;false;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (S (O)))))
13;29;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
14;38;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
16;35;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
15;33;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
22;47;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
15;33;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Var (S (O))))
16;35;false;false;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (S (O)))))
14;31;false;_;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (O))))
21;45;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
15;33;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
13;29;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
15;33;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
13;29;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
19;41;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
17;37;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
13;29;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
11;25;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
14;31;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
15;33;true;true;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (S (O)))))
13;29;true;_;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
19;41;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
17;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
17;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
15;33;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
18;39;true;false;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
21;45;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
19;41;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
