unifs_etalonLimited;unifs_original;var0;var1;formula
25;36;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;36;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
23;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
15;21;true;true;Conj (Var (O), Var (S (O)))
13;18;true;_;Conj (Var (O), Var (O))
18;26;true;false;Conj (Var (O), Neg (Var (S (O))))
25;36;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
23;33;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
23;33;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
23;33;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
23;33;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
21;30;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
25;36;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
23;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
23;33;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
21;30;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
18;26;true;false;Conj (Neg (Var (S (O))), Var (O))
18;26;false;true;Conj (Neg (Var (O)), Var (S (O)))
21;31;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
19;28;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
26;38;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
26;38;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
28;41;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
23;33;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
21;30;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
26;38;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
29;42;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
31;45;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;45;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;42;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
