unifs_originalLimited;unifs_ecce;var0;var1;formula
38;43;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
35;39;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
33;36;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
33;36;_;false;Disj (Neg (Var (S (O))), Var (S (O)))
30;32;true;true;Disj (Neg (Var (S (O))), Var (O))
30;32;true;false;Disj (Neg (Var (S (O))), Var (O))
30;32;false;false;Disj (Neg (Var (S (O))), Var (O))
36;37;true;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
30;32;true;true;Disj (Neg (Var (O)), Var (S (O)))
30;32;false;true;Disj (Neg (Var (O)), Var (S (O)))
30;32;false;false;Disj (Neg (Var (O)), Var (S (O)))
27;28;true;_;Disj (Neg (Var (O)), Var (O))
27;28;false;_;Disj (Neg (Var (O)), Var (O))
36;37;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
36;37;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
36;37;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
33;33;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
44;45;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
44;45;false;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
44;45;false;false;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
41;41;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
41;41;false;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
41;44;true;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
41;44;false;true;Disj (Disj (Var (S (O)), Var (S (O))), Var (O))
41;44;true;true;Disj (Disj (Var (S (O)), Var (O)), Var (S (O)))
41;44;true;false;Disj (Disj (Var (S (O)), Var (O)), Var (S (O)))
38;40;true;true;Disj (Disj (Var (S (O)), Var (O)), Var (O))
38;40;true;false;Disj (Disj (Var (S (O)), Var (O)), Var (O))
38;40;false;true;Disj (Disj (Var (S (O)), Var (O)), Var (O))
41;44;true;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
41;44;false;true;Disj (Disj (Var (O), Var (S (O))), Var (S (O)))
38;40;true;true;Disj (Disj (Var (O), Var (S (O))), Var (O))
38;40;true;false;Disj (Disj (Var (O), Var (S (O))), Var (O))
38;40;false;true;Disj (Disj (Var (O), Var (S (O))), Var (O))
44;45;true;true;Disj (Disj (Var (O), Var (S (O))), Neg (Var (O)))
38;40;true;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
38;40;true;false;Disj (Disj (Var (O), Var (O)), Var (S (O)))
38;40;false;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
35;36;true;_;Disj (Disj (Var (O), Var (O)), Var (O))
44;45;true;true;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
44;45;true;false;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
44;45;false;false;Disj (Disj (Var (O), Var (O)), Neg (Var (S (O))))
41;41;true;_;Disj (Disj (Var (O), Var (O)), Neg (Var (O)))
41;41;false;_;Disj (Disj (Var (O), Var (O)), Neg (Var (O)))
52;53;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
52;53;true;false;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;49;true;_;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
44;48;_;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (S (O)))
41;44;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
41;44;true;false;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
41;44;false;true;Disj (Conj (Var (S (O)), Var (S (O))), Var (O))
47;49;true;true;Disj (Conj (Var (S (O)), Var (S (O))), Neg (Var (O)))
41;44;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
41;44;false;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
38;40;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
38;40;true;false;Disj (Conj (Var (S (O)), Var (O)), Var (O))
47;49;true;true;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (S (O))))
44;45;true;true;Disj (Conj (Var (S (O)), Var (O)), Neg (Var (O)))
55;57;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (S (O))))
52;53;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
41;44;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
41;44;false;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
38;40;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
38;40;true;false;Disj (Conj (Var (O), Var (S (O))), Var (O))
47;49;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (S (O))))
44;45;true;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
44;45;false;true;Disj (Conj (Var (O), Var (S (O))), Neg (Var (O)))
55;57;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
52;53;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
38;40;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
38;40;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
38;40;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
35;36;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
44;45;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
44;45;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
44;45;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
41;41;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
41;41;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
52;53;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
52;53;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
52;53;false;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
49;49;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
55;57;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
55;57;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
55;57;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
52;53;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;53;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
52;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;49;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
27;25;_;true;Conj (Var (S (O)), Var (S (O)))
24;21;true;true;Conj (Var (S (O)), Var (O))
30;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
44;44;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
41;40;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;40;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;40;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
38;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
44;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
41;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
38;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
24;21;true;true;Conj (Var (O), Var (S (O)))
21;17;true;_;Conj (Var (O), Var (O))
30;23;true;false;Conj (Var (O), Neg (Var (S (O))))
41;40;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
38;36;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
38;36;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
38;36;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
38;36;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
35;32;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
41;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
38;29;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
38;29;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
35;25;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
30;23;true;false;Conj (Neg (Var (S (O))), Var (O))
39;29;_;false;Conj (Neg (Var (S (O))), Neg (Var (S (O))))
36;25;false;false;Conj (Neg (Var (S (O))), Neg (Var (O)))
44;31;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
30;23;false;true;Conj (Neg (Var (O)), Var (S (O)))
36;25;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
33;21;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
44;38;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
47;35;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
41;33;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
38;29;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
41;33;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
38;29;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
55;41;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
52;37;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
38;29;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
35;25;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
44;31;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
55;41;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
52;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
52;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
49;33;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
