unifs_etalon;unifs_geoff;var0;var1;formula
28;28;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
18;18;true;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
18;18;true;false;Disj (Disj (Var (O), Var (O)), Var (S (O)))
16;16;true;_;Disj (Disj (Var (O), Var (O)), Var (O))
22;22;true;_;Disj (Disj (Var (O), Var (O)), Disj (Var (O), Var (O)))
24;24;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;24;true;true;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;22;true;_;Disj (Disj (Var (O), Var (O)), Conj (Var (O), Var (O)))
20;20;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (S (O)))
18;18;true;true;Disj (Conj (Var (S (O)), Var (O)), Var (O))
24;24;true;true;Disj (Conj (Var (S (O)), Var (O)), Conj (Var (O), Var (O)))
20;20;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;18;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
26;26;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (S (O)), Var (O)))
26;26;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (S (O))))
24;24;true;true;Disj (Conj (Var (O), Var (S (O))), Disj (Var (O), Var (O)))
28;28;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (S (O))))
26;26;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
26;26;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
24;24;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
30;30;true;true;Disj (Conj (Var (O), Var (S (O))), Conj (Var (O), Conj (Var (O), Var (O))))
18;18;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;18;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
16;16;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
20;20;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
20;20;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
18;18;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
26;26;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (S (O))))
24;24;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
24;24;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
24;24;true;true;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
24;24;true;false;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
22;22;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
28;28;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Conj (Var (O), Var (O))))
26;26;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;24;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;24;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
30;30;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;24;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
24;24;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;22;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
28;28;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Disj (Var (O), Var (O))))
30;30;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
30;30;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
28;28;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
28;28;true;_;Disj (Conj (Var (O), Var (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
14;14;_;true;Conj (Var (S (O)), Var (S (O)))
12;12;true;true;Conj (Var (S (O)), Var (O))
14;14;false;true;Conj (Var (S (O)), Neg (Var (O)))
22;22;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
20;20;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;20;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
26;26;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Disj (Var (O), Var (O))))
28;28;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;28;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;26;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
20;20;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;20;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;18;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
26;26;true;true;Conj (Var (S (O)), Disj (Var (O), Disj (Var (S (O)), Var (O))))
26;26;true;true;Conj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (S (O)))))
24;24;true;true;Conj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
28;28;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;26;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
26;26;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;24;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
30;30;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
26;26;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (S (O))), Var (O)))
26;26;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (S (O))))
24;24;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
22;22;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;20;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;22;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
28;28;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
28;28;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
26;26;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
30;30;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;28;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;28;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;26;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;32;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
20;20;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;18;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
28;28;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
26;26;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
26;26;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;24;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
30;30;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
28;28;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;24;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
30;30;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
32;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;30;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
30;30;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
24;24;true;true;Conj (Var (S (O)), Conj (Disj (Var (O), Var (O)), Var (O)))
28;28;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
26;26;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
26;26;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;24;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
30;30;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O))))
32;32;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
32;32;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
30;30;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
12;12;true;true;Conj (Var (O), Var (S (O)))
10;10;true;_;Conj (Var (O), Var (O))
14;14;true;false;Conj (Var (O), Neg (Var (S (O))))
16;16;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;14;true;_;Conj (Var (O), Neg (Neg (Var (O))))
20;20;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
20;20;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;20;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;18;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
18;18;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
26;26;true;true;Conj (Var (O), Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
26;26;true;true;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;24;true;true;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
24;24;true;false;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
28;28;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;26;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;26;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;24;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;24;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
30;30;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
18;18;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
18;18;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
16;16;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
20;20;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
20;20;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
18;18;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
26;26;true;true;Conj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
24;24;true;true;Conj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (O))))
24;24;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (O))))
24;24;true;true;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
24;24;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
22;22;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
28;28;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
26;26;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;24;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;24;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
30;30;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
24;24;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;24;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
22;22;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
28;28;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
30;30;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
30;30;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;28;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
28;28;true;_;Conj (Var (O), Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
22;22;true;_;Conj (Var (O), Disj (Disj (Var (O), Var (O)), Var (O)))
26;26;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (S (O))))
24;24;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (S (O))), Var (O)))
24;24;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
24;24;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
22;22;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
28;28;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O))))
30;30;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
30;30;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
28;28;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
20;20;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;18;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
28;28;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
26;26;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
26;26;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;24;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
30;30;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O)))))
