unifs_geoff;unifs_ecce;var0;var1;formula
18;29;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
20;33;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;29;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
26;41;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
24;37;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
18;29;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
16;25;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
20;31;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
26;41;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;33;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
26;39;true;false;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
30;45;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
28;41;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
