unifs_etalonLimited;unifs_consPD;var0;var1;formula
28;16;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
26;14;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
26;14;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
24;12;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
25;15;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
23;13;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
23;13;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
23;13;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
21;11;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
26;14;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
24;12;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
31;17;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;17;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;15;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
17;11;_;true;Conj (Var (S (O)), Var (S (O)))
15;9;true;true;Conj (Var (S (O)), Var (O))
18;10;false;true;Conj (Var (S (O)), Neg (Var (O)))
27;17;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
25;15;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;15;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
25;15;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
25;15;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
23;13;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
27;17;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
25;15;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
25;15;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
23;13;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
15;9;true;true;Conj (Var (O), Var (S (O)))
13;7;true;_;Conj (Var (O), Var (O))
18;10;true;false;Conj (Var (O), Neg (Var (S (O))))
25;15;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
23;13;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
23;13;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
23;13;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
23;13;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
21;11;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
25;15;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
23;13;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
23;13;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
21;11;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
18;10;true;false;Conj (Neg (Var (S (O))), Var (O))
23;13;_;false;Conj (Neg (Var (S (O))), Neg (Var (S (O))))
21;11;false;false;Conj (Neg (Var (S (O))), Neg (Var (O)))
26;14;true;false;Conj (Neg (Var (S (O))), Disj (Var (O), Var (O)))
26;14;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
18;10;false;true;Conj (Neg (Var (O)), Var (S (O)))
21;11;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
19;9;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
28;16;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O))))
26;14;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
26;14;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
28;16;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
25;15;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
23;13;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
25;15;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
23;13;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
33;19;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
33;19;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
31;17;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
23;13;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
21;11;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
26;14;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
31;17;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
31;17;true;false;Conj (Conj (Var (O), Var (O)), Disj (Var (S (O)), Var (O)))
31;17;true;true;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (S (O))))
29;15;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
33;19;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
31;17;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
31;17;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
29;15;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
