unifs_etalon;unifs_originalFN;var0;var1;formula
22;40;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
14;19;_;true;Conj (Var (S (O)), Var (S (O)))
12;17;true;true;Conj (Var (S (O)), Var (O))
14;21;false;true;Conj (Var (S (O)), Neg (Var (O)))
18;27;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
16;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
22;34;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
22;34;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
20;32;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
26;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
22;35;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
20;33;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;33;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
22;37;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
26;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
26;44;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
20;33;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;33;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;31;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
22;37;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
20;35;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
28;46;false;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;42;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
22;32;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;30;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;34;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
28;46;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
28;46;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
26;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
30;45;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;43;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;54;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
28;43;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
34;54;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
34;54;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
32;52;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
20;30;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;28;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
26;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;42;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
28;43;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
34;54;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
34;54;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
32;52;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;39;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
34;54;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
32;52;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;52;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;50;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
36;61;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
32;52;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O))))
32;52;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
30;50;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
26;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (S (O)), Var (O)), Var (O)))
28;43;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
26;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
26;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;39;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
32;52;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
32;52;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
30;50;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
12;17;true;true;Conj (Var (O), Var (S (O)))
10;15;true;_;Conj (Var (O), Var (O))
14;21;true;false;Conj (Var (O), Neg (Var (S (O))))
16;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;23;true;_;Conj (Var (O), Neg (Neg (Var (O))))
22;34;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
20;32;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
30;47;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
28;45;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
20;32;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;33;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;31;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
18;31;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
22;37;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
22;37;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
20;35;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
26;47;true;false;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
26;44;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;42;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;42;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
30;53;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
30;53;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
18;31;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
18;31;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
16;29;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
20;35;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
20;35;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
18;33;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
24;45;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
26;44;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;44;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;42;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;42;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;42;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;42;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
22;40;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
26;46;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
28;51;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
24;42;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
24;42;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
22;40;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
20;30;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;28;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
26;44;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
26;44;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;42;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
28;43;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;54;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
34;54;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
32;52;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;39;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
34;54;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
32;52;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;52;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;50;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
36;61;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
32;52;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O))))
32;52;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
30;50;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
18;28;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;26;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;32;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;34;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
28;45;true;false;Conj (Var (O), Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
26;43;true;false;Conj (Var (O), Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
26;44;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
24;42;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
24;42;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
30;53;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O)))))
24;42;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;42;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
22;40;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
26;46;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
28;51;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
30;53;true;false;Conj (Var (O), Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O)))))
26;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
34;54;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
32;52;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
32;52;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
30;50;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
36;61;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))))
24;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;37;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;43;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
30;53;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O)))))
30;53;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O))))))
28;51;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
32;52;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
30;50;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
36;61;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))))
30;50;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
