unifs_original;unifs_etalon;var0;var1;formula
48;26;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;24;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
45;24;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
45;24;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
21;12;true;true;Disj (Var (O), Var (S (O)))
21;12;true;false;Disj (Var (O), Var (S (O)))
21;12;false;true;Disj (Var (O), Var (S (O)))
18;10;true;_;Disj (Var (O), Var (O))
26;14;true;true;Disj (Var (O), Neg (Var (S (O))))
26;14;true;false;Disj (Var (O), Neg (Var (S (O))))
26;14;false;false;Disj (Var (O), Neg (Var (S (O))))
23;12;true;_;Disj (Var (O), Neg (Var (O)))
23;12;false;_;Disj (Var (O), Neg (Var (O)))
41;22;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;20;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
35;18;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
36;20;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;20;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;20;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;18;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;18;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;18;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
45;24;true;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
33;18;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
33;18;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
33;18;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
30;16;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
38;20;true;false;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
42;22;true;_;Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
45;24;true;true;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
42;22;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
36;20;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;20;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;20;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;18;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
33;18;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;20;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
45;24;true;true;Disj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
48;26;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
48;26;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;24;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;24;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;18;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
33;18;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
30;16;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
38;20;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
45;24;true;true;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;24;true;true;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
45;24;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
42;22;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
48;26;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
48;26;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;24;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;24;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;22;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
33;18;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
33;18;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
33;18;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
30;16;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
35;18;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
42;22;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
24;14;_;true;Conj (Var (S (O)), Var (S (O)))
21;12;true;true;Conj (Var (S (O)), Var (O))
26;14;false;true;Conj (Var (S (O)), Neg (Var (O)))
38;20;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
39;22;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
36;20;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;20;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
48;26;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
36;20;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;20;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;18;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
45;24;true;true;Conj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
48;26;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
48;26;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
45;24;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
39;22;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;20;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;22;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
48;26;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
51;28;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
48;26;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
36;20;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;18;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
48;26;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
48;26;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
45;24;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
51;28;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
48;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
48;26;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;24;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
21;12;true;true;Conj (Var (O), Var (S (O)))
18;10;true;_;Conj (Var (O), Var (O))
26;14;true;false;Conj (Var (O), Neg (Var (S (O))))
31;16;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
28;14;true;_;Conj (Var (O), Neg (Neg (Var (O))))
41;22;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;20;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;20;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
36;20;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;18;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
33;18;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
45;24;true;true;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
45;24;true;false;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
48;26;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;24;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
45;24;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
33;18;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
33;18;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
30;16;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
38;20;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
38;20;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
35;18;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
45;24;true;true;Conj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (O))))
45;24;true;true;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
45;24;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
42;22;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
48;26;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
48;26;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;24;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
45;24;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
45;24;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
45;24;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
42;22;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
36;20;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;18;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
48;26;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
48;26;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
45;24;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
51;28;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
48;26;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
48;26;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;24;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;18;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
30;16;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
38;20;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
48;26;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
45;24;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;24;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;24;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
45;24;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
42;22;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
48;26;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;24;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;24;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;22;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
50;26;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
57;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
54;28;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
45;24;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;22;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
26;14;false;true;Conj (Neg (Var (O)), Var (S (O)))
33;18;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
30;16;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
38;20;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
42;22;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
45;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
45;24;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
42;22;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
