unifs_originalLP;unifs_ecceLN;var0;var1;formula
33;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
41;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
38;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
38;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
35;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
41;43;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;39;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;39;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;39;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
38;39;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
35;35;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
31;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
36;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
33;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
29;35;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
26;31;true;false;Neg (Conj (Var (S (O)), Var (O)))
26;31;false;true;Neg (Conj (Var (S (O)), Var (O)))
26;31;false;false;Neg (Conj (Var (S (O)), Var (O)))
34;41;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
34;41;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
31;37;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;37;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;37;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;43;false;true;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
36;43;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
38;49;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;50;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;50;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
44;54;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;50;true;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;50;false;true;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;50;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;50;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;50;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;50;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
38;46;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
38;46;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
38;46;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
26;31;true;false;Neg (Conj (Var (O), Var (S (O))))
26;31;false;true;Neg (Conj (Var (O), Var (S (O))))
26;31;false;false;Neg (Conj (Var (O), Var (S (O))))
23;27;false;_;Neg (Conj (Var (O), Var (O)))
31;37;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;37;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;37;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
28;33;true;_;Neg (Conj (Var (O), Neg (Var (O))))
28;33;false;_;Neg (Conj (Var (O), Neg (Var (O))))
33;39;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
35;46;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
41;50;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;50;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;50;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;46;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;46;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;46;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;46;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
38;46;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
38;46;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
35;42;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
31;35;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;35;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;35;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
28;31;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
28;31;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
36;40;true;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
36;40;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
36;40;false;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
33;36;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
43;48;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
43;48;true;false;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
43;48;false;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
43;48;false;false;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
40;44;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
40;44;false;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
38;43;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
38;43;false;true;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
38;43;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
35;39;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
40;44;true;_;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (O))))
24;33;_;true;Disj (Var (S (O)), Var (S (O)))
21;29;true;true;Disj (Var (S (O)), Var (O))
21;29;true;false;Disj (Var (S (O)), Var (O))
21;28;false;true;Disj (Var (S (O)), Var (O))
29;38;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
29;39;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
26;34;true;true;Disj (Var (S (O)), Neg (Var (O)))
26;35;false;true;Disj (Var (S (O)), Neg (Var (O)))
26;35;false;false;Disj (Var (S (O)), Neg (Var (O)))
34;45;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
31;41;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
31;41;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
31;40;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
41;53;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
41;54;true;false;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
41;54;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
41;54;false;false;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
38;49;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
38;50;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
38;50;false;false;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
36;51;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;51;true;false;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;52;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;51;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;52;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;51;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;47;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;47;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;47;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
39;52;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;48;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
36;47;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
36;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
36;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;44;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;44;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;43;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
41;53;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
41;54;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
41;53;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
38;49;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
38;49;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
48;62;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;59;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
45;59;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
45;58;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
21;29;true;true;Disj (Var (O), Var (S (O)))
21;28;true;false;Disj (Var (O), Var (S (O)))
21;29;false;true;Disj (Var (O), Var (S (O)))
18;25;true;_;Disj (Var (O), Var (O))
26;34;true;true;Disj (Var (O), Neg (Var (S (O))))
26;35;true;false;Disj (Var (O), Neg (Var (S (O))))
26;35;false;false;Disj (Var (O), Neg (Var (S (O))))
23;30;true;_;Disj (Var (O), Neg (Var (O)))
23;31;false;_;Disj (Var (O), Neg (Var (O)))
31;41;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
31;40;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
31;41;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
28;37;true;_;Disj (Var (O), Neg (Neg (Var (O))))
38;49;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
38;50;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
38;50;false;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
38;50;false;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
35;45;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
35;46;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
33;47;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;47;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;48;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;47;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
33;48;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
33;47;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
30;43;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
36;48;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;47;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;48;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;44;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
33;43;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
33;44;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
33;43;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
30;40;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
38;49;true;true;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
38;50;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
35;45;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
42;55;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;37;true;true;Disj (Neg (Var (S (O))), Var (O))
26;37;true;false;Disj (Neg (Var (S (O))), Var (O))
26;37;false;false;Disj (Neg (Var (S (O))), Var (O))
26;37;true;true;Disj (Neg (Var (O)), Var (S (O)))
26;37;false;true;Disj (Neg (Var (O)), Var (S (O)))
26;37;false;false;Disj (Neg (Var (O)), Var (S (O)))
23;33;true;_;Disj (Neg (Var (O)), Var (O))
23;33;false;_;Disj (Neg (Var (O)), Var (O))
28;39;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
33;41;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
33;40;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
33;41;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
30;37;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
38;45;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
38;46;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
35;41;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
35;42;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
42;53;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
45;54;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
45;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
45;54;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
45;53;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
42;50;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
24;25;_;true;Conj (Var (S (O)), Var (S (O)))
21;21;true;true;Conj (Var (S (O)), Var (O))
26;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
34;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
31;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
36;27;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
46;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (O)))))
46;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
43;33;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
38;31;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
41;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
41;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
38;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
43;43;true;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (O)), Var (O))))
39;45;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
36;41;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;40;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;46;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
41;47;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
36;41;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;41;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;37;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
38;42;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
38;43;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
45;49;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
39;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
46;37;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
54;49;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
51;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
51;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
48;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
36;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
46;37;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
43;33;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
48;49;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;45;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
51;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
48;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
48;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
60;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
57;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
41;35;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
43;33;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
48;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
45;37;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
21;21;true;true;Conj (Var (O), Var (S (O)))
18;17;true;_;Conj (Var (O), Var (O))
26;23;true;false;Conj (Var (O), Neg (Var (S (O))))
31;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
28;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
36;27;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
38;25;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
46;37;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
43;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
43;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
40;29;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
52;37;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O))))))
41;35;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
43;33;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
41;43;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;39;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
43;45;true;true;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O)))))
43;45;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O)))))
38;39;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
40;41;true;_;Conj (Var (O), Neg (Conj (Var (O), Neg (Var (O)))))
43;43;true;true;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
43;43;true;false;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
40;39;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
36;41;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;37;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
33;37;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
41;46;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
41;47;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
38;42;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
48;56;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;52;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
45;52;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
33;37;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
33;36;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
30;33;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
38;42;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
38;43;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
35;38;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
45;52;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
45;51;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
42;48;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
35;41;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
45;49;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
45;48;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
42;45;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
36;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;29;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
46;37;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
43;33;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
48;49;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
45;45;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
51;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
48;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
48;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;37;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
60;49;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
57;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
33;29;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
30;25;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
38;31;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
43;33;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
40;29;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
52;37;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O))))))
50;47;true;false;Conj (Var (O), Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
48;49;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
45;45;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;45;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
