unifs_originalLP;unifs_originalFP;var0;var1;formula
38;25;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;25;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;25;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;25;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
26;17;true;false;Neg (Conj (Var (O), Var (S (O))))
26;17;false;true;Neg (Conj (Var (O), Var (S (O))))
26;17;false;false;Neg (Conj (Var (O), Var (S (O))))
23;15;false;_;Neg (Conj (Var (O), Var (O)))
31;20;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;20;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;20;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
28;18;true;_;Neg (Conj (Var (O), Neg (Var (O))))
28;18;false;_;Neg (Conj (Var (O), Neg (Var (O))))
36;23;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
33;21;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
40;26;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
41;27;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
41;27;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
38;25;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
38;25;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
38;25;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
35;23;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
41;27;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;25;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;25;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
43;28;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
38;25;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
35;23;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
31;20;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;20;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;20;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
28;18;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
28;18;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
36;23;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
33;21;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
43;28;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
40;26;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
38;25;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;16;_;true;Disj (Var (S (O)), Var (S (O)))
21;14;true;true;Disj (Var (S (O)), Var (O))
21;14;true;false;Disj (Var (S (O)), Var (O))
21;14;false;true;Disj (Var (S (O)), Var (O))
29;19;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
29;19;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
26;17;true;true;Disj (Var (S (O)), Neg (Var (O)))
26;17;false;true;Disj (Var (S (O)), Neg (Var (O)))
26;17;false;false;Disj (Var (S (O)), Neg (Var (O)))
34;22;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
31;20;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
31;20;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
31;20;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
38;25;false;true;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
38;25;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
36;24;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;24;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;22;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;22;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;22;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
39;26;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;24;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;27;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
36;24;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
36;24;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;22;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;22;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;22;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
48;32;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;30;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
45;30;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
21;14;true;true;Disj (Var (O), Var (S (O)))
21;14;true;false;Disj (Var (O), Var (S (O)))
21;14;false;true;Disj (Var (O), Var (S (O)))
18;12;true;_;Disj (Var (O), Var (O))
26;17;true;true;Disj (Var (O), Neg (Var (S (O))))
26;17;true;false;Disj (Var (O), Neg (Var (S (O))))
26;17;false;false;Disj (Var (O), Neg (Var (S (O))))
23;15;true;_;Disj (Var (O), Neg (Var (O)))
23;15;false;_;Disj (Var (O), Neg (Var (O)))
31;20;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
31;20;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
31;20;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
28;18;true;_;Disj (Var (O), Neg (Neg (Var (O))))
40;26;true;_;Disj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;23;false;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
38;25;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;25;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;25;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
35;23;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
36;24;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;24;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;24;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;22;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;22;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;22;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;25;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
33;22;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
33;22;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
30;20;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
42;28;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
36;24;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;24;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;24;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;22;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
33;22;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;25;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
48;32;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;30;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;30;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;22;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
33;22;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
30;20;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
38;25;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
40;26;true;_;Disj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
42;28;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
48;32;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;30;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;30;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;28;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
38;25;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
35;23;true;_;Disj (Var (O), Conj (Neg (Var (O)), Var (O)))
26;17;true;true;Disj (Neg (Var (O)), Var (S (O)))
26;17;false;true;Disj (Neg (Var (O)), Var (S (O)))
26;17;false;false;Disj (Neg (Var (O)), Var (S (O)))
23;15;true;_;Disj (Neg (Var (O)), Var (O))
23;15;false;_;Disj (Neg (Var (O)), Var (O))
31;20;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
31;20;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
31;20;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
28;18;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
35;23;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
38;25;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
38;25;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
35;23;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
33;22;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
33;22;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
30;20;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
35;23;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
42;28;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
24;16;_;true;Conj (Var (S (O)), Var (S (O)))
21;14;true;true;Conj (Var (S (O)), Var (O))
26;17;false;true;Conj (Var (S (O)), Neg (Var (O)))
34;22;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
31;20;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
36;23;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
43;28;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
38;25;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
41;27;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
41;27;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
38;25;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
43;28;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
39;26;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
36;24;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;24;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;27;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
48;32;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
36;24;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;24;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;22;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
38;25;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
38;25;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
48;32;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
48;32;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
45;30;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
38;25;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
39;26;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;24;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;27;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
48;32;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
51;34;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
48;32;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
36;24;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;22;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
43;28;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
48;32;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
48;32;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
45;30;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
51;34;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
48;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
48;32;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;30;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
41;27;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
21;14;true;true;Conj (Var (O), Var (S (O)))
18;12;true;_;Conj (Var (O), Var (O))
26;17;true;false;Conj (Var (O), Neg (Var (S (O))))
31;20;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
28;18;true;_;Conj (Var (O), Neg (Neg (Var (O))))
36;23;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
40;26;true;_;Conj (Var (O), Neg (Neg (Disj (Var (O), Var (O)))))
43;28;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
43;28;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
40;26;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
41;27;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
41;27;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;25;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
43;28;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O)))))
38;25;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
40;26;true;_;Conj (Var (O), Neg (Conj (Var (O), Neg (Var (O)))))
40;26;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
36;24;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;22;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
33;22;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
41;27;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
38;25;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
48;32;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;30;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
45;30;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
33;22;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
33;22;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
30;20;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
38;25;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
38;25;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
35;23;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
40;26;true;_;Conj (Var (O), Disj (Var (O), Neg (Neg (Var (O)))))
42;28;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
48;32;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;30;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
45;30;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
45;30;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
42;28;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
38;25;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
35;23;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
36;24;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;22;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
43;28;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
48;32;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
48;32;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
45;30;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
51;34;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
48;32;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
48;32;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;30;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;22;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
30;20;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
38;25;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
43;28;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
40;26;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
48;32;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
45;30;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;30;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;30;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
45;30;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
42;28;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
48;32;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;28;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
50;33;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
57;38;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
54;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
45;30;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;28;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
26;17;true;false;Conj (Neg (Var (S (O))), Var (O))
26;17;false;true;Conj (Neg (Var (O)), Var (S (O)))
31;20;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
28;18;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
40;26;false;_;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O))))
38;25;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
38;25;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
41;27;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
33;22;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
30;20;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
38;25;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
42;28;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
45;30;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
45;30;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
42;28;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
