unifs_consPDLN;unifs_ecceFN;var0;var1;formula
15;34;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
18;39;_;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
16;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
16;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
14;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
18;42;_;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
16;38;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
16;38;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
16;38;true;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
16;38;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
14;34;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
10;23;false;false;Neg (Disj (Var (O), Var (S (O))))
8;19;false;_;Neg (Disj (Var (O), Var (O)))
11;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
12;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
10;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
13;29;false;true;Neg (Disj (Var (O), Neg (Neg (Neg (Var (S (O)))))))
17;38;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
16;36;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O))))))
16;39;false;true;Neg (Disj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O))))))
16;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
14;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
14;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
12;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
15;33;false;true;Neg (Disj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
16;35;false;_;Neg (Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (O)))))
16;38;false;_;Neg (Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
16;38;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
14;34;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;34;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;34;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
14;34;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
12;30;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
15;36;false;true;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
13;32;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
16;38;false;_;Neg (Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
16;41;false;_;Neg (Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
15;36;false;false;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
13;32;false;_;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (O))))
11;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
14;31;_;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (S (O)))))
12;27;true;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (O))))
15;33;false;true;Neg (Disj (Neg (Var (S (O))), Disj (Var (O), Var (O))))
15;36;false;true;Neg (Disj (Neg (Var (S (O))), Conj (Var (O), Var (O))))
11;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
12;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
10;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
14;32;true;_;Neg (Disj (Neg (Var (O)), Neg (Conj (Var (O), Var (O)))))
17;37;true;false;Neg (Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O)))))
17;40;true;false;Neg (Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
15;36;true;false;Neg (Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
14;31;false;false;Neg (Disj (Disj (Var (O), Var (O)), Var (S (O))))
12;27;false;_;Neg (Disj (Disj (Var (O), Var (O)), Var (O)))
14;34;false;false;Neg (Disj (Conj (Var (O), Var (O)), Var (S (O))))
12;30;false;_;Neg (Disj (Conj (Var (O), Var (O)), Var (O)))
12;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
10;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
10;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
10;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
13;32;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
13;32;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
11;28;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;28;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;28;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
14;34;_;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
12;30;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
12;30;false;true;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
12;30;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
15;37;true;true;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
15;37;true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
18;42;_;false;Neg (Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
16;38;false;false;Neg (Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
16;38;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
14;34;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
14;34;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
18;45;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
16;41;true;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
16;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
16;41;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
16;41;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
16;41;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
14;35;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;37;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;37;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
17;41;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Neg (Var (S (O))))))
18;44;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
10;26;true;false;Neg (Conj (Var (O), Var (S (O))))
10;26;false;true;Neg (Conj (Var (O), Var (S (O))))
10;26;false;false;Neg (Conj (Var (O), Var (S (O))))
8;22;false;_;Neg (Conj (Var (O), Var (O)))
11;28;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;28;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
9;24;true;_;Neg (Conj (Var (O), Neg (Var (O))))
9;24;false;_;Neg (Conj (Var (O), Neg (Var (O))))
12;30;true;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
12;30;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
12;30;false;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
10;26;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
13;32;false;true;Neg (Conj (Var (O), Neg (Neg (Neg (Var (S (O)))))))
13;32;false;_;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (O)))))
17;41;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
15;37;true;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
16;39;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O))))))
15;37;true;true;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
13;33;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
13;35;false;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
16;42;false;true;Neg (Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O))))))
16;38;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
16;38;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
14;34;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
15;36;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Neg (Var (O)))))
14;34;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
12;30;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
15;36;false;true;Neg (Conj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
16;38;false;_;Neg (Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O)))))
16;41;false;_;Neg (Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
15;36;true;false;Neg (Conj (Var (O), Disj (Neg (Var (O)), Var (S (O)))))
16;41;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
16;39;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
16;41;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
14;37;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
14;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
14;37;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
15;39;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
15;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
22;52;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
14;37;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
14;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
14;37;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
12;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
15;39;false;true;Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
13;35;false;_;Neg (Conj (Var (O), Conj (Var (O), Neg (Var (O)))))
16;41;false;_;Neg (Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
16;44;false;_;Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
15;39;true;false;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
15;40;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
15;39;false;false;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
13;35;false;_;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (O))))
14;38;false;_;Neg (Conj (Var (O), Conj (Neg (Var (O)), Neg (Var (O)))))
13;32;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
13;32;_;false;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
11;28;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
11;28;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
11;28;false;false;Neg (Conj (Neg (Var (S (O))), Var (O)))
14;34;_;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (S (O)))))
12;30;true;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
12;30;false;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
15;36;false;true;Neg (Conj (Neg (Var (S (O))), Disj (Var (O), Var (O))))
15;39;false;true;Neg (Conj (Neg (Var (S (O))), Conj (Var (O), Var (O))))
11;28;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;28;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;28;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
9;24;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
9;24;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
12;30;true;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
12;30;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
12;30;false;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
10;26;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
14;35;true;_;Neg (Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O)))))
17;40;true;false;Neg (Conj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O)))))
13;32;false;_;Neg (Conj (Neg (Var (O)), Disj (Var (O), Var (O))))
17;43;true;false;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
15;37;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
15;39;true;false;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
15;37;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
13;33;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
13;35;false;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
14;34;false;false;Neg (Conj (Disj (Var (O), Var (O)), Var (S (O))))
12;30;false;_;Neg (Conj (Disj (Var (O), Var (O)), Var (O)))
14;35;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
14;37;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
12;33;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
13;33;true;_;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (O))))
11;35;_;true;Disj (Var (S (O)), Var (S (O)))
9;31;true;true;Disj (Var (S (O)), Var (O))
9;31;true;false;Disj (Var (S (O)), Var (O))
9;30;false;true;Disj (Var (S (O)), Var (O))
12;42;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
12;43;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
10;38;true;true;Disj (Var (S (O)), Neg (Var (O)))
10;39;false;true;Disj (Var (S (O)), Neg (Var (O)))
10;39;false;false;Disj (Var (S (O)), Neg (Var (O)))
11;47;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
13;49;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
17;56;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;52;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
15;52;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;48;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
16;60;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
17;65;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
9;31;true;true;Disj (Var (O), Var (S (O)))
9;30;true;false;Disj (Var (O), Var (S (O)))
9;31;false;true;Disj (Var (O), Var (S (O)))
7;27;true;_;Disj (Var (O), Var (O))
10;38;true;true;Disj (Var (O), Neg (Var (S (O))))
10;39;true;false;Disj (Var (O), Neg (Var (S (O))))
10;39;false;false;Disj (Var (O), Neg (Var (S (O))))
8;34;true;_;Disj (Var (O), Neg (Var (O)))
8;35;false;_;Disj (Var (O), Neg (Var (O)))
11;47;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
15;53;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
13;49;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
15;52;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;51;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;52;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;48;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
14;56;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
13;48;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
11;44;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
14;56;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
12;45;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
12;44;_;false;Disj (Neg (Var (S (O))), Var (S (O)))
10;41;true;true;Disj (Neg (Var (S (O))), Var (O))
10;41;true;false;Disj (Neg (Var (S (O))), Var (O))
10;40;false;false;Disj (Neg (Var (S (O))), Var (O))
10;41;true;true;Disj (Neg (Var (O)), Var (S (O)))
10;41;false;true;Disj (Neg (Var (O)), Var (S (O)))
10;40;false;false;Disj (Neg (Var (O)), Var (S (O)))
8;37;true;_;Disj (Neg (Var (O)), Var (O))
8;36;false;_;Disj (Neg (Var (O)), Var (O))
13;50;false;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
12;51;false;_;Disj (Disj (Var (O), Var (O)), Neg (Var (O)))
15;47;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
13;43;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
13;43;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
13;42;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
13;42;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
11;39;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
14;47;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
14;48;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
14;47;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
12;43;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
12;43;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
19;59;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
17;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
17;56;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
15;52;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
11;26;_;true;Conj (Var (S (O)), Var (S (O)))
9;22;true;true;Conj (Var (S (O)), Var (O))
10;24;false;true;Conj (Var (S (O)), Neg (Var (O)))
13;30;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
11;26;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
12;28;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
13;30;true;true;Conj (Var (S (O)), Neg (Neg (Neg (Neg (Var (O))))))
19;43;_;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
17;39;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (O)))))
17;39;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
15;35;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
19;44;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O))))))
14;32;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
17;38;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Neg (Var (S (O))))))
18;40;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Disj (Var (O), Var (O)))))
18;43;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Conj (Var (O), Var (O)))))
17;38;false;true;Conj (Var (S (O)), Neg (Disj (Neg (Var (S (O))), Var (O))))
16;36;true;true;Conj (Var (S (O)), Neg (Disj (Neg (Var (O)), Neg (Var (O)))))
16;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
16;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
14;35;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
17;41;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (S (O))))))
15;37;true;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
15;37;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
18;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Disj (Var (O), Var (O)))))
18;46;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
17;41;false;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (S (O))), Var (O))))
15;37;true;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (O)), Var (O))))
16;39;true;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
17;48;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
15;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;43;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;44;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;44;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;40;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
14;48;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
21;65;false;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
