unifs_consPDLP;unifs_ecceFP;var0;var1;formula
10;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
10;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
10;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
13;32;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
13;32;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
11;28;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;28;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;28;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
12;30;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
14;37;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
14;34;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
14;34;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
14;34;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
18;42;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
10;26;true;false;Neg (Conj (Var (O), Var (S (O))))
10;26;false;true;Neg (Conj (Var (O), Var (S (O))))
10;26;false;false;Neg (Conj (Var (O), Var (S (O))))
8;22;false;_;Neg (Conj (Var (O), Var (O)))
11;28;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;28;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
9;24;true;_;Neg (Conj (Var (O), Neg (Var (O))))
9;24;false;_;Neg (Conj (Var (O), Neg (Var (O))))
12;30;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
10;26;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
13;32;false;_;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (O)))))
13;32;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
16;38;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
16;41;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
14;37;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
14;34;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
14;34;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
12;30;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
16;38;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
14;37;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
14;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
15;36;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
22;50;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
14;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
12;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
15;36;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
14;34;false;_;Neg (Conj (Var (O), Conj (Neg (Var (O)), Neg (Var (O)))))
13;32;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
11;28;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
11;28;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;28;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;28;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
9;24;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
9;24;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
12;30;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
10;26;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
15;36;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
13;32;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
14;34;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
11;28;_;true;Disj (Var (S (O)), Var (S (O)))
9;24;true;true;Disj (Var (S (O)), Var (O))
9;24;true;false;Disj (Var (S (O)), Var (O))
9;24;false;true;Disj (Var (S (O)), Var (O))
12;30;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
12;30;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
10;26;true;true;Disj (Var (S (O)), Neg (Var (O)))
10;26;false;true;Disj (Var (S (O)), Neg (Var (O)))
10;26;false;false;Disj (Var (S (O)), Neg (Var (O)))
13;32;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
11;28;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
11;28;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
11;28;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
14;34;false;true;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
14;34;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
15;39;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;39;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;35;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
13;35;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
13;32;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
17;40;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;36;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
16;38;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
19;44;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
15;36;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
15;39;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;32;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;32;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;35;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
19;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
19;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
17;40;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
17;40;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
16;38;false;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
9;24;true;true;Disj (Var (O), Var (S (O)))
9;24;true;false;Disj (Var (O), Var (S (O)))
9;24;false;true;Disj (Var (O), Var (S (O)))
7;20;true;_;Disj (Var (O), Var (O))
10;26;true;true;Disj (Var (O), Neg (Var (S (O))))
10;26;true;false;Disj (Var (O), Neg (Var (S (O))))
10;26;false;false;Disj (Var (O), Neg (Var (S (O))))
8;22;true;_;Disj (Var (O), Neg (Var (O)))
8;22;false;_;Disj (Var (O), Neg (Var (O)))
11;28;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
11;28;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
11;28;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
9;24;true;_;Disj (Var (O), Neg (Neg (Var (O))))
13;32;true;_;Disj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
16;38;true;false;Disj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
12;30;false;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
14;34;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;37;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;34;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
12;30;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
15;39;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
15;39;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
13;35;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
13;35;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
13;35;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
14;34;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
13;35;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
13;35;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
11;31;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
15;39;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
14;34;true;false;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
15;36;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;39;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
15;36;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
13;32;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
13;35;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
14;34;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
21;48;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
19;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
19;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;40;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
17;43;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
13;32;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
13;35;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
11;28;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
14;34;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
13;32;true;_;Disj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
15;39;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
19;44;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
17;40;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
17;40;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
15;36;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
19;44;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
14;34;true;false;Disj (Var (O), Conj (Neg (Var (S (O))), Var (O)))
14;34;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
12;33;true;_;Disj (Var (O), Conj (Neg (Var (O)), Var (O)))
13;32;false;_;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (O))))
17;40;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
15;36;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
12;30;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
10;26;true;true;Disj (Neg (Var (S (O))), Var (O))
10;26;true;false;Disj (Neg (Var (S (O))), Var (O))
10;26;false;false;Disj (Neg (Var (S (O))), Var (O))
11;28;false;false;Disj (Neg (Var (S (O))), Neg (Var (O)))
10;26;true;true;Disj (Neg (Var (O)), Var (S (O)))
10;26;false;true;Disj (Neg (Var (O)), Var (S (O)))
10;26;false;false;Disj (Neg (Var (O)), Var (S (O)))
8;22;true;_;Disj (Neg (Var (O)), Var (O))
8;22;false;_;Disj (Neg (Var (O)), Var (O))
11;28;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
11;28;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
11;28;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
9;24;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
12;30;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
16;38;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
14;34;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
15;36;false;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
14;34;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
12;30;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
15;36;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
13;32;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
13;32;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
13;32;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
11;28;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
14;34;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
12;30;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
17;40;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
17;40;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
15;36;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
11;25;_;true;Conj (Var (S (O)), Var (S (O)))
9;21;true;true;Conj (Var (S (O)), Var (O))
10;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
13;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
11;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
12;27;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
17;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (S (O)), Var (O)))))
17;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
15;33;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
14;31;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
16;38;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
16;38;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
14;34;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
15;36;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
15;36;true;true;Conj (Var (S (O)), Neg (Conj (Neg (Var (O)), Var (O))))
17;40;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
15;36;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;36;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
16;38;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
19;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
15;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;36;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;32;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
14;34;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
14;34;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
19;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
19;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
17;40;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
16;38;false;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (S (O))))
14;34;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
17;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
16;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
17;37;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
19;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
23;49;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
21;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
21;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
19;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
23;49;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
15;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
17;37;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
15;33;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
19;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
19;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
17;40;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
21;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
19;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
23;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
19;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
17;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
23;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
23;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
21;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
21;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
16;35;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
15;33;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
22;47;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
19;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
19;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
17;37;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
9;21;true;true;Conj (Var (O), Var (S (O)))
7;17;true;_;Conj (Var (O), Var (O))
10;23;true;false;Conj (Var (O), Neg (Var (S (O))))
11;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
9;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
12;27;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
11;25;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
13;32;true;_;Conj (Var (O), Neg (Neg (Disj (Var (O), Var (O)))))
17;37;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
15;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
15;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
13;29;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
17;37;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O))))))
16;35;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
15;33;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
15;33;true;false;Conj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
14;31;true;_;Conj (Var (O), Neg (Disj (Neg (Var (O)), Neg (Var (O)))))
16;38;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
14;34;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
17;40;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (S (O))))))
15;36;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O)))))
18;42;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
14;34;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
13;32;true;_;Conj (Var (O), Neg (Conj (Var (O), Neg (Var (O)))))
15;36;true;true;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
15;36;true;false;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
13;32;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
15;36;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
13;32;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
13;32;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
16;38;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
14;34;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
19;44;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
19;44;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
17;40;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
17;40;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
13;32;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
13;32;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
11;28;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
