unifs_ecceLN;unifs_consPDFN;var0;var1;formula
33;15;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
29;13;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
27;12;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
23;10;false;false;Neg (Disj (Var (S (O)), Var (O)))
25;11;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
27;12;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
33;15;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
35;16;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
31;14;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
23;10;false;false;Neg (Disj (Var (O), Var (S (O))))
19;8;false;_;Neg (Disj (Var (O), Var (O)))
25;11;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
27;12;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
23;10;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
37;17;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
35;16;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
31;14;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
31;14;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
27;12;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
39;14;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
39;14;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
35;12;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
25;11;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
25;11;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
27;12;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
23;10;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
35;12;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
31;10;true;false;Neg (Conj (Var (S (O)), Var (O)))
31;10;false;true;Neg (Conj (Var (S (O)), Var (O)))
31;10;false;false;Neg (Conj (Var (S (O)), Var (O)))
41;13;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
41;13;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
37;11;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
37;11;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
37;11;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
50;16;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
46;14;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
46;14;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
46;14;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
31;10;true;false;Neg (Conj (Var (O), Var (S (O))))
31;10;false;true;Neg (Conj (Var (O), Var (S (O))))
31;10;false;false;Neg (Conj (Var (O), Var (S (O))))
27;8;false;_;Neg (Conj (Var (O), Var (O)))
37;11;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
37;11;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
37;11;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
33;9;true;_;Neg (Conj (Var (O), Neg (Var (O))))
33;9;false;_;Neg (Conj (Var (O), Neg (Var (O))))
46;14;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
46;14;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;12;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
35;11;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
35;11;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
35;11;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
35;11;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
35;11;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;9;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
31;9;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
36;10;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
43;14;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
39;12;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
33;11;_;true;Disj (Var (S (O)), Var (S (O)))
29;9;true;true;Disj (Var (S (O)), Var (O))
29;9;true;false;Disj (Var (S (O)), Var (O))
28;9;false;true;Disj (Var (S (O)), Var (O))
38;12;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
39;12;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
34;10;true;true;Disj (Var (S (O)), Neg (Var (O)))
35;10;false;true;Disj (Var (S (O)), Neg (Var (O)))
35;10;false;false;Disj (Var (S (O)), Neg (Var (O)))
41;11;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
40;11;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
47;13;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
47;13;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
52;17;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
48;15;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
48;15;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
44;13;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
44;13;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
43;13;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
29;9;true;true;Disj (Var (O), Var (S (O)))
28;9;true;false;Disj (Var (O), Var (S (O)))
29;9;false;true;Disj (Var (O), Var (S (O)))
25;7;true;_;Disj (Var (O), Var (O))
34;10;true;true;Disj (Var (O), Neg (Var (S (O))))
35;10;true;false;Disj (Var (O), Neg (Var (S (O))))
35;10;false;false;Disj (Var (O), Neg (Var (S (O))))
30;8;true;_;Disj (Var (O), Neg (Var (O)))
31;8;false;_;Disj (Var (O), Neg (Var (O)))
37;9;true;_;Disj (Var (O), Neg (Neg (Var (O))))
43;11;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
48;15;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
47;15;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
48;15;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
44;13;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
43;13;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
44;13;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
43;13;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
40;11;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
37;10;false;true;Disj (Neg (Var (O)), Var (S (O)))
37;10;false;false;Disj (Neg (Var (O)), Var (S (O)))
33;8;true;_;Disj (Neg (Var (O)), Var (O))
33;8;false;_;Disj (Neg (Var (O)), Var (O))
45;13;false;true;Disj (Disj (Var (O), Var (O)), Var (S (O)))
41;13;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
40;13;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
41;13;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
37;11;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
41;12;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
42;12;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
50;15;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
25;11;_;true;Conj (Var (S (O)), Var (S (O)))
21;9;true;true;Conj (Var (S (O)), Var (O))
23;10;false;true;Conj (Var (S (O)), Neg (Var (O)))
29;13;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
25;11;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
27;12;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
37;17;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
33;15;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
31;14;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
43;16;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
39;14;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
45;17;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
41;15;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
40;15;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;15;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
41;15;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
37;13;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
37;17;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
33;15;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
35;16;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
37;17;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
49;23;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
45;21;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
45;21;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;19;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;15;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
29;13;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
37;17;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
33;15;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
45;21;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;19;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
41;19;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;17;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
49;23;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
45;21;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
35;16;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
33;15;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
47;22;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
41;19;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
41;19;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
37;17;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
21;9;true;true;Conj (Var (O), Var (S (O)))
17;7;true;_;Conj (Var (O), Var (O))
23;10;true;false;Conj (Var (O), Neg (Var (S (O))))
25;11;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
21;9;true;_;Conj (Var (O), Neg (Neg (Var (O))))
27;12;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
25;11;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
37;17;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
33;15;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
33;15;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
29;13;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;16;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
33;15;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
33;15;true;false;Conj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
43;16;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
39;14;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
39;14;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
43;15;true;false;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
39;13;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
41;15;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
37;13;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
37;13;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
42;14;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
37;13;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
36;13;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
33;11;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
38;12;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
48;17;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
45;15;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
33;15;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
29;13;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
37;17;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
33;15;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
45;21;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;19;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;19;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
37;17;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
49;23;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
45;21;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
29;13;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
25;11;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
31;14;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
33;15;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
29;13;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
37;17;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O))))))
43;20;true;false;Conj (Var (O), Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O))))))
45;17;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;17;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
41;15;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
41;19;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
37;17;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
49;23;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
45;21;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
37;17;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
33;15;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
39;18;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
37;17;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O))))))
49;23;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
45;21;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
45;21;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
41;19;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
39;18;true;false;Conj (Var (O), Conj (Var (O), Conj (Neg (Var (S (O))), Var (O))))
45;21;true;true;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
41;19;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
31;14;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Var (O)))
37;17;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Neg (Var (S (O)))))
39;18;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Conj (Var (O), Var (O))))
41;19;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
37;17;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O)))
37;17;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
33;15;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
39;18;true;false;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
37;17;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (O)))))
49;23;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O)))))
45;21;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
45;21;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
41;19;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
23;10;true;false;Conj (Neg (Var (S (O))), Var (O))
29;13;_;false;Conj (Neg (Var (S (O))), Neg (Var (S (O))))
25;11;false;false;Conj (Neg (Var (S (O))), Neg (Var (O)))
27;12;true;false;Conj (Neg (Var (S (O))), Neg (Neg (Var (O))))
31;14;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
23;10;false;true;Conj (Neg (Var (O)), Var (S (O)))
25;11;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
21;9;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
27;12;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
25;11;false;_;Conj (Neg (Var (O)), Neg (Neg (Neg (Var (O)))))
33;15;false;false;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (S (O)))))
29;13;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
38;14;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
35;16;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
33;15;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
47;22;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
45;21;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O)))))
33;15;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Var (S (O))))
35;16;false;false;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (S (O)))))
31;14;false;_;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (O))))
45;21;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
33;15;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
29;13;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
33;15;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
29;13;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
41;19;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
37;17;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
29;13;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
25;11;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
31;14;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;15;true;true;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (S (O)))))
29;13;true;_;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
41;19;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
37;17;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
37;17;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
33;15;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
39;18;true;false;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
45;21;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
41;19;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
