unifs_consPDLP;unifs_originalFP;var0;var1;formula
15;28;true;true;Neg (Neg (Disj (Var (S (O)), Conj (Var (O), Var (O)))))
11;20;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
11;20;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
11;20;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
9;18;true;_;Neg (Neg (Disj (Var (O), Var (O))))
12;23;true;false;Neg (Neg (Disj (Var (O), Neg (Var (S (O))))))
10;21;true;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
10;21;false;_;Neg (Neg (Disj (Var (O), Neg (Var (O)))))
15;28;true;true;Neg (Neg (Disj (Var (O), Conj (Var (S (O)), Var (O)))))
15;28;true;true;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (S (O))))))
13;26;true;_;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (O)))))
12;23;false;true;Neg (Neg (Disj (Neg (Var (O)), Var (S (O)))))
13;22;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
11;20;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
12;23;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
13;26;true;true;Neg (Neg (Conj (Var (S (O)), Neg (Neg (Var (O))))))
15;28;true;true;Neg (Neg (Conj (Var (S (O)), Disj (Var (O), Var (O)))))
19;32;_;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
17;30;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
17;30;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
15;28;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
19;36;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))))
11;20;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
9;18;true;_;Neg (Neg (Conj (Var (O), Var (O))))
12;23;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
13;26;true;true;Neg (Neg (Conj (Var (O), Neg (Neg (Var (S (O)))))))
11;24;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
16;31;true;false;Neg (Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))))
15;28;true;true;Neg (Neg (Conj (Var (O), Disj (Var (S (O)), Var (O)))))
15;28;true;false;Neg (Neg (Conj (Var (O), Disj (Var (S (O)), Var (O)))))
15;28;true;true;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (S (O))))))
13;26;true;_;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (O)))))
17;30;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
15;28;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
19;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))))
15;28;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
13;26;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
16;31;true;false;Neg (Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))))
19;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))))
19;36;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))))
17;34;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
17;34;true;_;Neg (Neg (Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))))
12;23;true;false;Neg (Neg (Conj (Neg (Var (S (O))), Var (O))))
12;23;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
13;26;false;false;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (S (O))))))
11;24;false;_;Neg (Neg (Conj (Neg (Var (O)), Neg (Var (O)))))
18;33;false;true;Neg (Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))))
15;28;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
13;26;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
17;34;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))))
12;19;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
10;17;false;false;Neg (Disj (Var (S (O)), Var (O)))
11;20;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
14;25;_;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (S (O))))))
12;23;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
15;28;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
18;29;_;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
16;27;false;false;Neg (Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
16;27;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
14;25;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
16;27;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
16;27;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
16;27;true;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
16;27;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
14;25;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
15;28;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Neg (Var (O)))))
10;17;false;false;Neg (Disj (Var (O), Var (S (O))))
8;15;false;_;Neg (Disj (Var (O), Var (O)))
11;20;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
12;23;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
10;21;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
17;30;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
16;31;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O))))))
16;31;false;true;Neg (Disj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O))))))
16;27;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
14;25;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
14;25;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
12;23;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
15;28;false;true;Neg (Disj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
16;31;false;_;Neg (Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (O)))))
16;27;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
14;25;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
14;25;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
15;28;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
14;25;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
14;25;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
12;23;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
15;28;false;false;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
13;26;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
20;35;false;true;Neg (Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
15;28;false;false;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
13;26;false;_;Neg (Disj (Var (O), Conj (Neg (Var (O)), Var (O))))
11;20;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
14;25;_;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (S (O)))))
12;23;true;true;Neg (Disj (Neg (Var (S (O))), Neg (Var (O))))
15;28;false;true;Neg (Disj (Neg (Var (S (O))), Disj (Var (O), Var (O))))
11;20;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
12;23;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
10;21;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
14;29;true;_;Neg (Disj (Neg (Var (O)), Neg (Conj (Var (O), Var (O)))))
17;30;true;false;Neg (Disj (Neg (Var (O)), Disj (Var (S (O)), Var (S (O)))))
15;28;true;false;Neg (Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
14;25;false;false;Neg (Disj (Disj (Var (O), Var (O)), Var (S (O))))
12;23;false;_;Neg (Disj (Disj (Var (O), Var (O)), Var (O)))
12;19;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
10;17;true;false;Neg (Conj (Var (S (O)), Var (O)))
10;17;false;true;Neg (Conj (Var (S (O)), Var (O)))
10;17;false;false;Neg (Conj (Var (S (O)), Var (O)))
13;22;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
13;22;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
11;20;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;20;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
11;20;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
12;23;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
12;23;false;true;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
12;23;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
15;28;false;false;Neg (Conj (Var (S (O)), Neg (Disj (Var (O), Var (O)))))
15;28;true;true;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
15;28;true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
16;27;false;false;Neg (Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
16;27;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
14;25;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
14;25;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
14;25;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
16;27;true;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
16;27;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
14;25;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;25;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
14;25;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
17;30;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Neg (Var (S (O))))))
18;33;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
16;31;false;false;Neg (Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O)))))
18;33;true;false;Neg (Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
10;17;true;false;Neg (Conj (Var (O), Var (S (O))))
10;17;false;true;Neg (Conj (Var (O), Var (S (O))))
10;17;false;false;Neg (Conj (Var (O), Var (S (O))))
8;15;false;_;Neg (Conj (Var (O), Var (O)))
11;20;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;20;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
11;20;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
9;18;true;_;Neg (Conj (Var (O), Neg (Var (O))))
9;18;false;_;Neg (Conj (Var (O), Neg (Var (O))))
12;23;true;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
12;23;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
12;23;false;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
10;21;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
11;24;false;_;Neg (Conj (Var (O), Neg (Neg (Neg (Var (O))))))
15;28;false;false;Neg (Conj (Var (O), Neg (Disj (Var (S (O)), Var (O)))))
15;28;false;false;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (S (O))))))
13;26;false;_;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (O)))))
17;30;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
15;28;true;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
15;28;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
15;28;true;true;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
15;28;false;true;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
13;26;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
13;26;false;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
16;27;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
16;27;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
16;27;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
14;25;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
14;25;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
15;28;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Neg (Var (O)))))
15;28;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Neg (Var (O)))))
14;25;false;true;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
14;25;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
12;23;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
15;28;true;false;Neg (Conj (Var (O), Disj (Neg (Var (O)), Var (S (O)))))
15;28;false;true;Neg (Conj (Var (O), Disj (Neg (Var (O)), Var (S (O)))))
16;27;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
16;27;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
14;25;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
14;25;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
14;25;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
15;28;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
22;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
21;38;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))))
18;33;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
21;38;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))))
14;25;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
14;25;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
14;25;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
12;23;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
13;26;false;_;Neg (Conj (Var (O), Conj (Var (O), Neg (Var (O)))))
16;31;false;false;Neg (Conj (Var (O), Conj (Neg (Var (S (O))), Neg (Var (O)))))
15;28;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
13;26;true;_;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (O))))
16;31;false;false;Neg (Conj (Var (O), Conj (Neg (Var (O)), Neg (Var (S (O))))))
14;29;false;_;Neg (Conj (Var (O), Conj (Neg (Var (O)), Neg (Var (O)))))
21;38;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))))
22;37;false;true;Neg (Conj (Var (O), Conj (Conj (Var (S (O)), Var (S (O))), Var (S (O)))))
13;22;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
11;20;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
11;20;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
11;20;false;false;Neg (Conj (Neg (Var (S (O))), Var (O)))
12;23;true;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
12;23;false;true;Neg (Conj (Neg (Var (S (O))), Neg (Var (O))))
17;30;true;true;Neg (Conj (Neg (Var (S (O))), Conj (Var (S (O)), Var (O))))
17;30;true;true;Neg (Conj (Neg (Var (S (O))), Conj (Var (O), Var (S (O)))))
15;28;true;true;Neg (Conj (Neg (Var (S (O))), Conj (Var (O), Var (O))))
11;20;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;20;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
11;20;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
9;18;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
9;18;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
12;23;true;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
12;23;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
12;23;false;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
10;21;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
11;24;true;_;Neg (Conj (Neg (Var (O)), Neg (Neg (Var (O)))))
13;26;true;_;Neg (Conj (Neg (Var (O)), Disj (Var (O), Var (O))))
13;26;false;_;Neg (Conj (Neg (Var (O)), Disj (Var (O), Var (O))))
17;30;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
15;28;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
15;28;true;false;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
15;28;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
13;26;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
17;34;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
14;25;false;true;Neg (Conj (Disj (Var (O), Var (O)), Var (S (O))))
14;25;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
13;26;true;_;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (O))))
11;16;_;true;Disj (Var (S (O)), Var (S (O)))
9;14;true;true;Disj (Var (S (O)), Var (O))
9;14;true;false;Disj (Var (S (O)), Var (O))
9;14;false;true;Disj (Var (S (O)), Var (O))
12;19;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
12;19;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
10;17;true;true;Disj (Var (S (O)), Neg (Var (O)))
10;17;false;true;Disj (Var (S (O)), Neg (Var (O)))
10;17;false;false;Disj (Var (S (O)), Neg (Var (O)))
13;22;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
11;20;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
11;20;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
11;20;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
12;23;false;true;Disj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
15;28;true;true;Disj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
14;25;false;true;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
14;25;false;false;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
16;27;true;true;Disj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
16;27;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
16;27;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
14;25;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
14;25;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
17;26;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
15;24;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;24;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
15;24;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
15;24;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
13;22;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
13;22;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
13;22;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
17;30;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
17;26;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
15;24;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
15;24;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
16;27;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
21;34;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
21;34;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
19;32;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
15;24;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
15;24;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
13;22;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;22;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
13;22;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
16;27;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
14;25;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
15;28;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
17;30;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
21;34;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
19;32;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
19;32;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
17;30;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
17;30;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
21;38;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
16;27;false;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
14;25;true;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (O)))
15;28;false;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
15;28;false;false;Disj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
19;32;true;true;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
17;30;true;true;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
17;30;true;false;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
9;14;true;true;Disj (Var (O), Var (S (O)))
9;14;true;false;Disj (Var (O), Var (S (O)))
9;14;false;true;Disj (Var (O), Var (S (O)))
7;12;true;_;Disj (Var (O), Var (O))
10;17;true;true;Disj (Var (O), Neg (Var (S (O))))
10;17;true;false;Disj (Var (O), Neg (Var (S (O))))
10;17;false;false;Disj (Var (O), Neg (Var (S (O))))
8;15;true;_;Disj (Var (O), Neg (Var (O)))
8;15;false;_;Disj (Var (O), Neg (Var (O)))
11;20;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
11;20;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
11;20;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
9;18;true;_;Disj (Var (O), Neg (Neg (Var (O))))
12;23;true;false;Disj (Var (O), Neg (Neg (Neg (Var (S (O))))))
10;21;true;_;Disj (Var (O), Neg (Neg (Neg (Var (O)))))
10;21;false;_;Disj (Var (O), Neg (Neg (Neg (Var (O)))))
15;28;true;true;Disj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
15;28;true;true;Disj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
13;26;true;_;Disj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
16;27;true;false;Disj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
14;25;false;false;Disj (Var (O), Neg (Disj (Var (S (O)), Var (O))))
15;28;true;false;Disj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
14;25;false;false;Disj (Var (O), Neg (Disj (Var (O), Var (S (O)))))
12;23;true;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
12;23;false;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
15;28;true;false;Disj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
16;27;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
16;27;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
14;25;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;25;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
14;25;false;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
18;33;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
14;25;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
