unifs_etalon;unifs_consPDLN;var0;var1;formula
18;12;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
22;16;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
22;16;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
22;16;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
20;14;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;14;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;14;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;14;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;14;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;14;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
18;12;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
24;16;false;_;Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
20;14;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
20;14;false;true;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
20;14;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
18;12;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
14;11;_;true;Disj (Var (S (O)), Var (S (O)))
12;9;true;true;Disj (Var (S (O)), Var (O))
12;9;true;false;Disj (Var (S (O)), Var (O))
12;9;false;true;Disj (Var (S (O)), Var (O))
16;12;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
16;12;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
14;10;true;true;Disj (Var (S (O)), Neg (Var (O)))
14;10;false;true;Disj (Var (S (O)), Neg (Var (O)))
14;10;false;false;Disj (Var (S (O)), Neg (Var (O)))
16;11;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;14;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
20;14;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
20;15;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;15;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;13;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;13;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;13;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;17;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;15;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
20;15;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;16;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
26;19;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;15;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
20;15;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;13;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;13;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;13;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;16;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
26;19;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;19;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;17;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;17;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;17;true;false;Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
12;9;true;true;Disj (Var (O), Var (S (O)))
12;9;true;false;Disj (Var (O), Var (S (O)))
12;9;false;true;Disj (Var (O), Var (S (O)))
10;7;true;_;Disj (Var (O), Var (O))
14;10;true;true;Disj (Var (O), Neg (Var (S (O))))
14;10;true;false;Disj (Var (O), Neg (Var (S (O))))
14;10;false;false;Disj (Var (O), Neg (Var (S (O))))
12;8;true;_;Disj (Var (O), Neg (Var (O)))
12;8;false;_;Disj (Var (O), Neg (Var (O)))
16;11;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
14;9;true;_;Disj (Var (O), Neg (Neg (Var (O))))
22;16;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
20;14;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
20;14;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
20;14;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;14;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
18;12;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
18;12;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
20;15;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;15;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;13;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;13;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;13;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
24;17;true;false;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
18;13;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;13;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;13;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
16;11;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
20;15;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;15;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;15;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;13;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
18;13;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
20;14;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
20;14;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
26;19;false;true;Disj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
28;21;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;19;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;19;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;17;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;17;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
18;13;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
18;13;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
16;11;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;14;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
18;12;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
24;17;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
26;19;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;17;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
24;17;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;15;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
28;19;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
20;14;true;false;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
20;14;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
28;21;false;true;Disj (Var (O), Conj (Conj (Var (S (O)), Var (S (O))), Var (S (O))))
24;17;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;15;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
28;19;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
14;10;false;true;Disj (Neg (Var (O)), Var (S (O)))
12;8;false;_;Disj (Neg (Var (O)), Var (O))
20;15;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
18;13;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
18;13;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;13;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;13;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
16;11;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
20;14;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
20;14;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
20;14;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
18;12;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
18;12;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
26;19;false;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;17;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;17;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;15;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
14;11;_;true;Conj (Var (S (O)), Var (S (O)))
12;9;true;true;Conj (Var (S (O)), Var (O))
14;10;false;true;Conj (Var (S (O)), Neg (Var (O)))
18;13;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
16;11;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
22;16;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
22;16;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
20;14;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
26;18;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
22;17;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
20;15;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;15;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
22;16;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
26;19;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
20;15;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;15;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;13;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
22;16;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
20;14;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
28;21;false;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;19;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
26;19;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;17;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
22;17;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;15;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;16;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
28;21;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
26;19;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
30;23;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;21;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;25;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
28;21;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;19;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
34;25;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
34;25;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
32;23;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
20;15;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;13;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
26;19;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
26;19;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;17;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
28;21;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;19;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
34;25;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
34;25;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
32;23;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;19;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;17;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
34;25;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
32;23;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;23;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;21;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
36;25;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
32;23;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O))))
32;23;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
30;21;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
36;25;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))))
26;19;true;true;Conj (Var (S (O)), Conj (Conj (Var (S (O)), Var (O)), Var (O)))
28;21;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
26;19;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
32;23;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O))))
26;19;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;17;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
32;23;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
32;23;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
30;21;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
12;9;true;true;Conj (Var (O), Var (S (O)))
10;7;true;_;Conj (Var (O), Var (O))
14;10;true;false;Conj (Var (O), Neg (Var (S (O))))
16;11;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;9;true;_;Conj (Var (O), Neg (Neg (Var (O))))
22;16;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
20;14;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
30;22;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
20;14;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;15;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;13;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
18;13;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
22;16;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
22;16;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
20;14;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
26;19;true;false;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;17;true;false;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
26;19;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;19;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;17;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;17;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
30;21;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
30;21;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
18;13;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
18;13;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
16;11;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
20;14;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
20;14;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
18;12;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
24;17;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (O))))
26;19;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;19;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;17;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;17;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;17;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;17;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
22;15;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
28;19;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
26;19;true;false;Conj (Var (O), Disj (Conj (Var (S (O)), Var (S (O))), Var (O)))
24;17;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
24;17;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
22;15;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
28;19;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
20;15;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;13;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
26;19;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
26;19;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;17;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
28;21;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;19;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;25;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
34;25;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
32;23;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;19;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;17;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
34;25;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
32;23;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
32;23;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;21;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
36;25;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
32;23;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O))))
32;23;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
30;21;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O))))
36;25;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))))
18;13;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;11;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;14;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;13;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
28;20;true;false;Conj (Var (O), Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
26;18;true;false;Conj (Var (O), Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
26;19;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
24;17;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
24;17;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
30;21;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O)))))
24;17;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;17;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
22;15;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
26;18;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
28;19;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
26;19;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;17;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
34;25;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))))
32;23;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))))
32;23;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
30;21;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
36;25;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))))
24;17;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;15;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;18;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
30;21;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O)))))
30;21;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O))))))
28;19;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
32;23;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
30;21;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
36;25;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))))
30;21;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;19;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
36;25;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))))
36;25;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))))
34;23;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))))
36;25;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))))
