unifs_etalon;unifs_originalLP;var0;var1;formula
22;41;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
22;41;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
20;38;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;38;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
20;38;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;50;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
26;50;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
20;38;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;38;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
20;38;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
18;35;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
26;50;false;true;Neg (Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
26;50;false;false;Neg (Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
26;50;false;false;Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
24;47;false;_;Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
20;38;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
20;38;false;true;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
20;38;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
18;35;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
14;24;_;true;Disj (Var (S (O)), Var (S (O)))
12;21;true;true;Disj (Var (S (O)), Var (O))
12;21;true;false;Disj (Var (S (O)), Var (O))
12;21;false;true;Disj (Var (S (O)), Var (O))
16;29;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
16;29;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
14;26;true;true;Disj (Var (S (O)), Neg (Var (O)))
14;26;false;true;Disj (Var (S (O)), Neg (Var (O)))
14;26;false;false;Disj (Var (S (O)), Neg (Var (O)))
16;31;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;38;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
20;38;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
22;39;_;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
20;36;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;36;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
26;48;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
20;36;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;36;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;36;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;33;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;33;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
18;33;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
24;45;true;true;Disj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
26;48;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
26;48;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;45;true;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
24;45;true;false;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
22;39;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;36;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
20;36;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;41;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
26;48;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
28;51;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;51;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;48;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
26;48;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;36;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
20;36;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;33;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;33;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
18;33;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;41;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
26;48;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
26;48;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;45;true;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
24;45;true;false;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
28;51;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;48;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;48;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;48;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
26;48;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;45;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;45;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
24;45;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
12;21;true;true;Disj (Var (O), Var (S (O)))
12;21;true;false;Disj (Var (O), Var (S (O)))
12;21;false;true;Disj (Var (O), Var (S (O)))
10;18;true;_;Disj (Var (O), Var (O))
14;26;true;true;Disj (Var (O), Neg (Var (S (O))))
14;26;true;false;Disj (Var (O), Neg (Var (S (O))))
14;26;false;false;Disj (Var (O), Neg (Var (S (O))))
12;23;true;_;Disj (Var (O), Neg (Var (O)))
12;23;false;_;Disj (Var (O), Neg (Var (O)))
16;31;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
14;28;true;_;Disj (Var (O), Neg (Neg (Var (O))))
18;35;true;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
22;41;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
20;38;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
20;38;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
20;38;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;38;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
18;35;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
18;35;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
20;36;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
20;36;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;33;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;33;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
18;33;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
24;45;true;true;Disj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
24;45;true;false;Disj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
26;48;true;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;48;true;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;45;true;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;45;true;false;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;45;false;true;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
18;33;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;33;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
18;33;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
16;30;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
20;38;true;true;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
20;38;true;false;Disj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
18;35;true;_;Disj (Var (O), Disj (Var (O), Neg (Var (O))))
24;45;true;true;Disj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (O))))
24;45;true;true;Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
24;45;true;false;Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
22;42;true;_;Disj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
26;48;true;true;Disj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;48;true;false;Disj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;45;true;true;Disj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;45;true;false;Disj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;45;true;true;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;45;true;false;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
22;42;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
20;36;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;36;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
20;36;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;33;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
18;33;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
20;38;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
20;38;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
26;48;true;true;Disj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
26;48;true;true;Disj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;45;true;true;Disj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
24;45;true;false;Disj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
28;51;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;51;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;51;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;48;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;48;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;48;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;48;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;45;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;45;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
18;33;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
18;33;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
16;30;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
20;38;true;true;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
20;38;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
18;35;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
26;48;true;true;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
24;45;true;true;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
24;45;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
24;45;true;true;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;45;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
22;42;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
26;48;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;48;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;45;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
24;45;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
24;45;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;45;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;42;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;50;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
30;57;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;54;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
20;38;true;false;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
20;38;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
24;45;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;45;true;false;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
22;42;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
14;26;false;true;Disj (Neg (Var (O)), Var (S (O)))
12;23;false;_;Disj (Neg (Var (O)), Var (O))
18;33;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;33;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
18;33;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
16;30;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
20;38;true;true;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
20;38;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
18;35;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
18;35;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
22;42;true;_;Disj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
24;45;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;45;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
24;45;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
24;45;true;false;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;42;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
14;24;_;true;Conj (Var (S (O)), Var (S (O)))
12;21;true;true;Conj (Var (S (O)), Var (O))
14;26;false;true;Conj (Var (S (O)), Neg (Var (O)))
18;34;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
16;31;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
22;41;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
22;41;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
20;38;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
26;50;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
22;39;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
20;36;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
20;36;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
22;41;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
26;48;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Disj (Var (O), Var (O))))
28;51;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;51;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;48;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
26;48;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
20;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
20;36;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
18;33;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
22;41;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
20;38;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
26;48;true;true;Conj (Var (S (O)), Disj (Var (O), Disj (Var (S (O)), Var (O))))
26;48;true;true;Conj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (S (O)))))
24;45;true;true;Conj (Var (S (O)), Disj (Var (O), Disj (Var (O), Var (O))))
28;51;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
28;51;false;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;48;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
26;48;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;45;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
24;45;true;true;Conj (Var (S (O)), Disj (Conj (Var (O), Var (O)), Var (O)))
22;39;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
20;36;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
22;41;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
28;51;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
28;51;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
28;51;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
26;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
30;54;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
28;51;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
28;51;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
26;48;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
20;36;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
18;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
28;51;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
26;48;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
26;48;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;45;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
28;51;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
26;48;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
24;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
30;57;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
32;60;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
30;57;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
26;48;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;45;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
12;21;true;true;Conj (Var (O), Var (S (O)))
10;18;true;_;Conj (Var (O), Var (O))
14;26;true;false;Conj (Var (O), Neg (Var (S (O))))
16;31;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
14;28;true;_;Conj (Var (O), Neg (Neg (Var (O))))
22;41;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
20;38;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
28;53;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
20;38;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
20;36;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
18;33;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
18;33;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
22;41;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
22;41;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
20;38;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
26;48;true;true;Conj (Var (O), Disj (Var (S (O)), Disj (Var (S (O)), Var (O))))
26;48;true;true;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
26;48;true;false;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;45;true;true;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
24;45;true;false;Conj (Var (O), Disj (Var (S (O)), Disj (Var (O), Var (O))))
28;51;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;48;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;48;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;45;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
24;45;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
18;33;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
18;33;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
16;30;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
20;38;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
20;38;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
18;35;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
26;48;true;true;Conj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
24;45;true;true;Conj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (O))))
24;45;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (S (O)), Var (O))))
24;45;true;true;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
24;45;true;false;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (S (O)))))
22;42;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
26;48;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
26;48;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;45;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;45;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
24;45;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
24;45;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
22;42;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
26;50;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
28;54;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
30;57;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;54;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
24;45;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
24;45;true;false;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
22;42;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
20;36;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
28;51;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
26;48;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
26;48;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;45;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
