unifs_etalon;unifs_ecceFN;var0;var1;formula
18;35;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
26;48;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (S (O)), Var (O)))
26;48;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
24;44;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
18;35;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
16;31;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
20;37;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
26;48;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
24;44;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
30;53;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;44;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
22;40;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
26;46;true;false;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
30;53;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
30;53;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
28;49;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
30;57;true;true;Conj (Conj (Var (O), Var (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
28;53;true;_;Conj (Conj (Var (O), Var (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
