unifs_ecceLP;unifs_originalFP;var0;var1;formula
38;25;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;25;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
42;28;true;true;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
42;28;true;false;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
38;26;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
40;24;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;22;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
36;22;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
42;25;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
36;22;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
36;22;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
32;20;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
38;23;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
40;25;true;true;Conj (Var (O), Disj (Neg (Var (S (O))), Var (O)))
40;25;true;false;Conj (Var (O), Disj (Neg (Var (S (O))), Var (O)))
40;25;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
36;23;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
48;30;true;true;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (S (O))))
44;28;true;_;Conj (Var (O), Disj (Conj (Var (O), Var (O)), Var (O)))
33;24;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
29;22;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
37;30;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
33;28;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
45;34;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;32;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;32;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
37;30;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
49;40;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O))))))
45;38;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
29;22;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
25;20;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
31;25;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
33;28;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
29;26;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
43;35;true;false;Conj (Var (O), Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O))))))
44;30;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
44;30;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
40;28;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
41;32;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
37;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
49;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
45;38;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O)))))
37;30;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
33;28;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
39;33;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
37;34;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O))))))
49;40;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
45;38;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O)))))
45;38;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
41;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
39;33;true;false;Conj (Var (O), Conj (Var (O), Conj (Neg (Var (S (O))), Var (O))))
45;38;true;true;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O)))))
41;36;true;_;Conj (Var (O), Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O))))
31;25;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Var (O)))
37;30;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Neg (Var (S (O)))))
39;33;true;false;Conj (Var (O), Conj (Neg (Var (S (O))), Conj (Var (O), Var (O))))
41;32;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (S (O))))
37;30;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (S (O))), Var (O)))
37;30;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
33;28;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
39;33;true;false;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Neg (Var (S (O)))))
49;40;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O)))))
45;38;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O))))
45;38;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O)))))
41;36;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O))))
23;17;true;false;Conj (Neg (Var (S (O))), Var (O))
29;22;_;false;Conj (Neg (Var (S (O))), Neg (Var (S (O))))
25;20;false;false;Conj (Neg (Var (S (O))), Neg (Var (O)))
27;23;true;false;Conj (Neg (Var (S (O))), Neg (Neg (Var (O))))
31;25;true;false;Conj (Neg (Var (S (O))), Conj (Var (O), Var (O)))
23;17;false;true;Conj (Neg (Var (O)), Var (S (O)))
25;20;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
21;18;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
27;23;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
25;24;false;_;Conj (Neg (Var (O)), Neg (Neg (Neg (Var (O)))))
33;28;false;false;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (S (O)))))
29;26;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
38;25;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
35;27;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
33;28;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Neg (Var (O))))
47;37;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
33;28;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Var (S (O))))
35;31;false;false;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (S (O)))))
31;29;false;_;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Neg (Var (O))))
45;38;false;true;Conj (Neg (Var (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
33;24;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (S (O)))
29;22;true;true;Conj (Conj (Var (S (O)), Var (O)), Var (O))
33;24;true;true;Conj (Conj (Var (O), Var (S (O))), Var (S (O)))
29;22;true;true;Conj (Conj (Var (O), Var (S (O))), Var (O))
41;32;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (S (O))))
37;30;true;true;Conj (Conj (Var (O), Var (S (O))), Conj (Var (O), Var (O)))
29;22;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
25;20;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
31;25;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;28;true;true;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (S (O)))))
29;26;true;_;Conj (Conj (Var (O), Var (O)), Neg (Neg (Var (O))))
41;32;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (S (O))))
37;30;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
37;30;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
33;28;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
39;33;true;false;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Neg (Var (S (O)))))
45;38;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
41;36;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Conj (Var (O), Var (O))))
