unifs_originalLP;unifs_ecceFP;var0;var1;formula
31;28;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;28;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;30;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
38;37;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;34;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;34;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;34;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
26;26;true;false;Neg (Conj (Var (O), Var (S (O))))
26;26;false;true;Neg (Conj (Var (O), Var (S (O))))
26;26;false;false;Neg (Conj (Var (O), Var (S (O))))
23;22;false;_;Neg (Conj (Var (O), Var (O)))
31;28;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;28;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;28;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
28;24;true;_;Neg (Conj (Var (O), Neg (Var (O))))
28;24;false;_;Neg (Conj (Var (O), Neg (Var (O))))
36;30;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
33;26;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
40;32;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
41;38;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
41;41;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
38;37;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
38;34;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
38;34;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
35;30;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
41;38;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;37;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;37;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
43;36;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
38;37;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
35;33;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
31;28;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;28;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;28;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
28;24;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
28;24;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
36;30;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
33;26;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
43;36;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
40;32;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
38;34;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;28;_;true;Disj (Var (S (O)), Var (S (O)))
21;24;true;true;Disj (Var (S (O)), Var (O))
21;24;true;false;Disj (Var (S (O)), Var (O))
21;24;false;true;Disj (Var (S (O)), Var (O))
29;30;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
29;30;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
26;26;true;true;Disj (Var (S (O)), Neg (Var (O)))
26;26;false;true;Disj (Var (S (O)), Neg (Var (O)))
26;26;false;false;Disj (Var (S (O)), Neg (Var (O)))
34;32;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
31;28;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
31;28;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
31;28;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
38;34;false;true;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
38;34;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
36;39;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;39;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;35;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;35;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;32;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
39;40;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;36;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;38;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
36;36;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
36;39;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;32;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;32;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;35;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
48;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;40;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
45;40;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
21;24;true;true;Disj (Var (O), Var (S (O)))
21;24;true;false;Disj (Var (O), Var (S (O)))
21;24;false;true;Disj (Var (O), Var (S (O)))
18;20;true;_;Disj (Var (O), Var (O))
26;26;true;true;Disj (Var (O), Neg (Var (S (O))))
26;26;true;false;Disj (Var (O), Neg (Var (S (O))))
26;26;false;false;Disj (Var (O), Neg (Var (S (O))))
23;22;true;_;Disj (Var (O), Neg (Var (O)))
23;22;false;_;Disj (Var (O), Neg (Var (O)))
31;28;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
31;28;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
31;28;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
28;24;true;_;Disj (Var (O), Neg (Neg (Var (O))))
40;32;true;_;Disj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
35;30;false;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
38;34;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;37;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;34;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
35;30;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
36;39;true;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;39;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;35;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;35;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;35;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
38;34;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
33;35;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
33;35;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
30;31;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
42;39;true;_;Disj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
36;36;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;39;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;36;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;32;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
33;35;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
38;34;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
48;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;40;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;43;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;32;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
33;35;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
30;28;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
38;34;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
40;32;true;_;Disj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
42;39;true;_;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
48;44;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;40;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;40;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;36;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
38;34;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
35;33;true;_;Disj (Var (O), Conj (Neg (Var (O)), Var (O)))
26;26;true;true;Disj (Neg (Var (O)), Var (S (O)))
26;26;false;true;Disj (Neg (Var (O)), Var (S (O)))
26;26;false;false;Disj (Neg (Var (O)), Var (S (O)))
23;22;true;_;Disj (Neg (Var (O)), Var (O))
23;22;false;_;Disj (Neg (Var (O)), Var (O))
31;28;true;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
31;28;false;true;Disj (Neg (Var (O)), Neg (Var (S (O))))
31;28;false;false;Disj (Neg (Var (O)), Neg (Var (S (O))))
28;24;false;_;Disj (Neg (Var (O)), Neg (Var (O)))
35;30;false;_;Disj (Neg (Var (O)), Disj (Var (O), Var (O)))
38;34;true;true;Disj (Neg (Var (O)), Conj (Var (S (O)), Var (O)))
38;34;true;true;Disj (Neg (Var (O)), Conj (Var (O), Var (S (O))))
35;30;true;_;Disj (Neg (Var (O)), Conj (Var (O), Var (O)))
33;32;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
33;32;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
30;28;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
35;30;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
42;36;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
24;25;_;true;Conj (Var (S (O)), Var (S (O)))
21;21;true;true;Conj (Var (S (O)), Var (O))
26;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
34;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
31;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
36;27;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
43;33;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
38;31;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
41;38;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
41;38;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
38;34;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
43;36;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Neg (Var (O)))))
39;40;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
36;36;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;36;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
41;38;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Neg (Var (O))))
48;44;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Conj (Var (O), Var (O))))
36;36;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;36;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;32;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
38;34;true;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
38;34;false;true;Conj (Var (S (O)), Disj (Var (O), Neg (Var (O))))
48;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (S (O)), Var (O))))
48;44;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (S (O)))))
45;40;true;true;Conj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
38;34;true;true;Conj (Var (S (O)), Disj (Neg (Var (O)), Var (O)))
39;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
48;44;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Disj (Var (O), Var (O))))
51;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
48;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
36;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
43;33;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
48;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (S (O)), Var (O))))
48;44;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (S (O)))))
45;40;true;true;Conj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
51;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
48;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
48;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
41;35;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
21;21;true;true;Conj (Var (O), Var (S (O)))
18;17;true;_;Conj (Var (O), Var (O))
26;23;true;false;Conj (Var (O), Neg (Var (S (O))))
31;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
28;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
36;27;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
40;32;true;_;Conj (Var (O), Neg (Neg (Disj (Var (O), Var (O)))))
43;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
43;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
40;29;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
41;35;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
41;38;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;34;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
43;36;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Neg (Var (O)))))
38;34;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
40;32;true;_;Conj (Var (O), Neg (Conj (Var (O), Neg (Var (O)))))
40;32;true;_;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (O))))
36;36;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;32;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
33;32;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
41;38;true;false;Conj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
38;34;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
48;44;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;40;true;true;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
45;40;true;false;Conj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (O))))
33;32;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
33;32;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
30;28;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
38;34;true;true;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
38;34;true;false;Conj (Var (O), Disj (Var (O), Neg (Var (S (O)))))
35;30;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
40;32;true;_;Conj (Var (O), Disj (Var (O), Neg (Neg (Var (O)))))
42;39;true;_;Conj (Var (O), Disj (Var (O), Disj (Var (O), Var (O))))
48;44;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;40;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
45;43;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (S (O)), Var (O))))
45;40;true;true;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
42;36;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
38;34;true;true;Conj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
35;30;true;_;Conj (Var (O), Disj (Neg (Var (O)), Var (O)))
36;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;29;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
43;33;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
48;44;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
48;44;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
45;40;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
51;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
48;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
48;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;37;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;29;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
30;25;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
38;31;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
43;33;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
40;29;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
48;44;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
45;40;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;40;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
45;40;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
45;40;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
42;36;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
48;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;37;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;37;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;33;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
50;39;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
57;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
54;41;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
45;37;true;true;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;33;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
26;23;true;false;Conj (Neg (Var (S (O))), Var (O))
26;23;false;true;Conj (Neg (Var (O)), Var (S (O)))
31;25;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
28;21;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
40;32;false;_;Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O))))
38;34;false;true;Conj (Neg (Var (O)), Disj (Var (S (O)), Var (O)))
38;34;false;true;Conj (Neg (Var (O)), Disj (Var (O), Var (S (O))))
41;35;false;true;Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O))))
33;29;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
30;25;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
38;31;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
42;36;true;_;Conj (Conj (Var (O), Var (O)), Disj (Var (O), Var (O)))
45;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
45;37;true;true;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
42;33;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
