unifs_originalLP;unifs_originalFN;var0;var1;formula
36;32;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
43;39;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
41;40;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
38;38;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
44;39;_;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;37;true;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;37;false;false;Neg (Disj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;37;true;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;37;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
38;35;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
26;24;false;false;Neg (Disj (Var (O), Var (S (O))))
23;22;false;_;Neg (Disj (Var (O), Var (O)))
31;28;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
36;32;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
33;30;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
41;40;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
38;38;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
38;38;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
35;36;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
41;37;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;35;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;35;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;35;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
38;35;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
35;33;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
43;39;false;true;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
40;37;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
47;44;false;_;Neg (Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
31;28;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
36;32;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
33;30;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
35;33;false;_;Neg (Disj (Conj (Var (O), Var (O)), Var (O)))
29;23;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
26;21;true;false;Neg (Conj (Var (S (O)), Var (O)))
26;21;false;true;Neg (Conj (Var (S (O)), Var (O)))
26;21;false;false;Neg (Conj (Var (S (O)), Var (O)))
34;27;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
34;27;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
31;25;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;25;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;25;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
39;31;_;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (S (O))))))
36;29;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
36;29;false;true;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
36;29;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
43;36;true;true;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
43;36;true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
44;39;_;false;Neg (Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O)))))
41;37;false;false;Neg (Conj (Var (S (O)), Disj (Var (S (O)), Var (O))))
41;37;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
41;37;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
38;35;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;35;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
44;36;_;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;34;true;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;34;false;false;Neg (Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;34;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;34;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;34;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
38;32;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
38;32;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
38;32;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
46;38;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Neg (Var (S (O))))))
50;43;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O)))))
26;21;true;false;Neg (Conj (Var (O), Var (S (O))))
26;21;false;true;Neg (Conj (Var (O), Var (S (O))))
26;21;false;false;Neg (Conj (Var (O), Var (S (O))))
23;19;false;_;Neg (Conj (Var (O), Var (O)))
31;25;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;25;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;25;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
28;23;true;_;Neg (Conj (Var (O), Neg (Var (O))))
28;23;false;_;Neg (Conj (Var (O), Neg (Var (O))))
36;29;true;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
36;29;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
36;29;false;false;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
33;27;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
40;37;false;_;Neg (Conj (Var (O), Neg (Disj (Var (O), Var (O)))))
46;38;false;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
43;36;true;true;Neg (Conj (Var (O), Neg (Conj (Var (S (O)), Var (O)))))
43;36;true;true;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (S (O))))))
40;34;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
40;34;false;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
41;37;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
41;37;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
38;35;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
38;35;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
43;39;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Neg (Var (O)))))
38;35;false;true;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
38;35;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
35;33;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
43;39;false;true;Neg (Conj (Var (O), Disj (Var (O), Neg (Var (S (O))))))
47;44;false;_;Neg (Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O)))))
41;34;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;34;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;34;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;32;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;32;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;32;false;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
46;38;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (S (O))))))
43;36;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
43;36;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
38;32;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
38;32;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
38;32;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
35;30;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
43;36;false;true;Neg (Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
40;34;false;_;Neg (Conj (Var (O), Conj (Var (O), Neg (Var (O)))))
47;44;false;_;Neg (Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O)))))
47;41;false;_;Neg (Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
43;36;true;false;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
43;36;false;true;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
43;36;false;false;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (S (O)))))
40;34;false;_;Neg (Conj (Var (O), Conj (Neg (Var (O)), Var (O))))
31;25;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;25;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;25;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
28;23;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
28;23;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
36;29;true;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
36;29;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
36;29;false;true;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
33;27;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
45;38;true;_;Neg (Conj (Neg (Var (O)), Neg (Conj (Var (O), Var (O)))))
40;37;false;_;Neg (Conj (Neg (Var (O)), Disj (Var (O), Var (O))))
46;38;true;false;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
43;36;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
43;36;true;false;Neg (Conj (Neg (Var (O)), Conj (Var (S (O)), Var (O))))
43;36;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
40;34;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
40;34;false;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
38;32;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
38;32;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
35;30;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
40;34;true;_;Neg (Conj (Conj (Var (O), Var (O)), Neg (Var (O))))
24;22;_;true;Disj (Var (S (O)), Var (S (O)))
21;20;true;true;Disj (Var (S (O)), Var (O))
21;20;true;false;Disj (Var (S (O)), Var (O))
21;20;false;true;Disj (Var (S (O)), Var (O))
29;26;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
29;26;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
26;24;true;true;Disj (Var (S (O)), Neg (Var (O)))
26;24;false;true;Disj (Var (S (O)), Neg (Var (O)))
26;24;false;false;Disj (Var (S (O)), Neg (Var (O)))
34;30;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
31;28;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
31;28;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
31;28;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
36;32;true;true;Disj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
38;38;false;true;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
38;38;false;false;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
44;39;_;true;Disj (Var (S (O)), Neg (Conj (Var (S (O)), Var (S (O)))))
41;37;true;true;Disj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
41;37;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (S (O)))))
38;35;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
38;35;false;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
38;35;false;false;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
50;46;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
36;36;false;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;36;true;false;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
36;36;false;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;34;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;34;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;34;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
41;40;false;true;Disj (Var (S (O)), Disj (Var (O), Neg (Var (S (O)))))
45;45;false;true;Disj (Var (S (O)), Disj (Var (O), Conj (Var (O), Var (O))))
39;35;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;33;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
36;33;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;37;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
48;44;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
36;33;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
36;33;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;31;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;31;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;31;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
41;37;true;false;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
41;37;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (S (O)))))
38;35;true;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
38;35;false;true;Disj (Var (S (O)), Conj (Var (O), Neg (Var (O))))
45;45;false;true;Disj (Var (S (O)), Conj (Var (O), Disj (Var (O), Var (O))))
48;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
48;44;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;42;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
45;42;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
45;42;false;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
41;37;true;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
41;37;false;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
38;35;true;true;Disj (Var (S (O)), Conj (Neg (Var (O)), Var (O)))
21;20;true;true;Disj (Var (O), Var (S (O)))
21;20;true;false;Disj (Var (O), Var (S (O)))
21;20;false;true;Disj (Var (O), Var (S (O)))
18;18;true;_;Disj (Var (O), Var (O))
26;24;true;true;Disj (Var (O), Neg (Var (S (O))))
26;24;true;false;Disj (Var (O), Neg (Var (S (O))))
26;24;false;false;Disj (Var (O), Neg (Var (S (O))))
23;22;true;_;Disj (Var (O), Neg (Var (O)))
23;22;false;_;Disj (Var (O), Neg (Var (O)))
31;28;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
31;28;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
31;28;false;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
28;26;true;_;Disj (Var (O), Neg (Neg (Var (O))))
36;32;true;true;Disj (Var (O), Neg (Neg (Neg (Var (S (O))))))
36;32;true;false;Disj (Var (O), Neg (Neg (Neg (Var (S (O))))))
33;30;true;_;Disj (Var (O), Neg (Neg (Neg (Var (O)))))
33;30;false;_;Disj (Var (O), Neg (Neg (Neg (Var (O)))))
40;37;true;_;Disj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
41;40;true;false;Disj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
38;38;true;false;Disj (Var (O), Neg (Disj (Var (S (O)), Var (O))))
38;38;false;false;Disj (Var (O), Neg (Disj (Var (S (O)), Var (O))))
38;38;true;false;Disj (Var (O), Neg (Disj (Var (O), Var (S (O)))))
38;38;false;false;Disj (Var (O), Neg (Disj (Var (O), Var (S (O)))))
35;36;true;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
35;36;false;_;Disj (Var (O), Neg (Disj (Var (O), Var (O))))
41;37;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
41;37;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
38;35;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;35;true;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;35;false;true;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
38;35;false;false;Disj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
50;46;true;true;Disj (Var (O), Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
38;35;true;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
38;35;true;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
38;35;false;true;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
38;35;false;false;Disj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
35;33;true;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
35;33;false;_;Disj (Var (O), Neg (Conj (Var (O), Var (O))))
43;39;true;false;Disj (Var (O), Neg (Conj (Var (O), Neg (Var (S (O))))))
50;46;true;true;Disj (Var (O), Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
50;46;true;true;Disj (Var (O), Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
47;44;true;_;Disj (Var (O), Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
36;36;true;false;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
36;36;false;true;Disj (Var (O), Disj (Var (S (O)), Var (S (O))))
33;34;true;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;34;true;false;Disj (Var (O), Disj (Var (S (O)), Var (O)))
33;34;false;true;Disj (Var (O), Disj (Var (S (O)), Var (O)))
41;40;false;true;Disj (Var (O), Disj (Var (S (O)), Neg (Var (S (O)))))
38;38;true;false;Disj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
48;47;true;false;Disj (Var (O), Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
33;34;true;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
33;34;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
33;34;false;true;Disj (Var (O), Disj (Var (O), Var (S (O))))
30;32;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
35;36;true;_;Disj (Var (O), Disj (Var (O), Neg (Var (O))))
38;38;true;false;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
38;38;false;false;Disj (Var (O), Disj (Neg (Var (O)), Var (S (O))))
35;36;false;_;Disj (Var (O), Disj (Neg (Var (O)), Var (O)))
36;33;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;33;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
36;33;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;31;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
33;31;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
41;37;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (S (O)))))
38;35;true;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
38;35;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
38;35;false;true;Disj (Var (O), Conj (Var (S (O)), Neg (Var (O))))
50;46;true;false;Disj (Var (O), Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
51;46;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
51;46;false;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
48;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
48;44;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
48;44;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
48;44;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
45;42;true;true;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
45;42;true;false;Disj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
33;31;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
33;31;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
30;29;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
38;35;true;true;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
38;35;true;false;Disj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
35;33;true;_;Disj (Var (O), Conj (Var (O), Neg (Var (O))))
40;37;true;_;Disj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
45;45;true;false;Disj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
48;44;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
45;42;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
45;42;true;true;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
42;40;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
50;46;true;false;Disj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
54;51;true;_;Disj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
38;35;true;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
38;35;true;false;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
38;35;false;true;Disj (Var (O), Conj (Neg (Var (O)), Var (S (O))))
35;33;true;_;Disj (Var (O), Conj (Neg (Var (O)), Var (O)))
43;39;true;true;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (S (O)))))
40;37;true;_;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (O))))
40;37;false;_;Disj (Var (O), Conj (Neg (Var (O)), Neg (Var (O))))
45;42;true;true;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
45;42;true;false;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (S (O))))
42;40;true;_;Disj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
29;26;_;true;Disj (Neg (Var (S (O))), Var (S (O)))
26;24;true;true;Disj (Neg (Var (S (O))), Var (O))
26;24;true;false;Disj (Neg (Var (S (O))), Var (O))
26;24;false;false;Disj (Neg (Var (S (O))), Var (O))
26;24;true;true;Disj (Neg (Var (O)), Var (S (O)))
26;24;false;true;Disj (Neg (Var (O)), Var (S (O)))
26;24;false;false;Disj (Neg (Var (O)), Var (S (O)))
23;22;true;_;Disj (Neg (Var (O)), Var (O))
23;22;false;_;Disj (Neg (Var (O)), Var (O))
