unifs_etalon;unifs_originalLN;var0;var1;formula
24;42;true;false;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (S (O)))))
22;40;true;_;Conj (Var (O), Disj (Var (O), Conj (Var (O), Var (O))))
20;30;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
18;28;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
26;44;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
24;42;true;true;Conj (Var (O), Conj (Var (S (O)), Disj (Var (O), Var (O))))
28;43;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
26;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
26;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
24;39;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
18;28;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
16;26;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
20;32;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
26;44;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
24;42;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
24;42;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
24;42;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
24;42;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (S (O)))))
22;40;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
26;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
24;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
24;39;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
22;37;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
26;43;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
30;50;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
28;48;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
22;37;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
14;21;false;true;Conj (Neg (Var (O)), Var (S (O)))
18;28;true;true;Conj (Conj (Var (O), Var (O)), Var (S (O)))
16;26;true;_;Conj (Conj (Var (O), Var (O)), Var (O))
20;32;true;false;Conj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
22;37;true;_;Conj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
